name,gs_email,s2aid,s2npubs
Albert Kim,,2671663,96
Edward Xue,@ed.ac.uk,34265480,1
Xiaofo Yu,,10280425,1
Sean Zou,,7523578,1
Lijin Guo,,1912029,7
Changfeng Liu,,3382974,11
Chaoran Wang,@illinois.edu,4017475,25
Karrie Karahalios,@cs.uiuc.edu,1680270,140
Aditya Parameswaran,@cs.stanford.edu,1801540,122
Eugene Wu,@cs.columbia.edu,39708150,102
Fotis Psallidas,@columbia.edu,2493657,6
Zhengjie Miao,,2594274,5
Haoci Zhang,,3209058,3
Laura Rettig,@unifr.ch,34011720,3
Yifan Wu,@berkeley.edu,115957746,99
Thibault Sellam,@cs.columbia.edu,145450400,16
Rogers Jeffrey Leo John,@columbia.edu,2891738,3
Navneet Potti,@cs.wisc.edu,2406599,13
Jignesh M. Patel,@cs.wisc.edu,2042232,241
Ruslan Mavlyutov,@exascale.info,2056584,10
Carlo Curino,@microsoft.com,1692732,69
Boris Asipov,,7821366,1
Philippe Cudre-Mauroux,@unifr.ch,1680925,136
James Wagner,,39076993,36
Alexander Rasin,@cdm.depaul.edu,6850164,51
Tanu Malik,@cdm.depaul.edu,40654705,51
Karen Heart,,40369971,23
Hugo Jehle,,7939230,2
Jonathan Grier,,39168571,11
Susan Davidson,@cis.upenn.edu,1707465,161
Daniel Deutch,@post.tau.ac.il,1682639,68
Tova Milo,@cs.tau.ac.il,1702212,215
Gianmaria Silvello,@dei.unipd.it,1688094,88
Jose M. Faleiro,@yale.edu,1829445,11
Daniel J. Abadi,@cs.yale.edu,2254232,80
Dixin Tang,,2395665,6
Hao Jiang,,1786139,714
Aaron J. Elmore,,1787375,37
Zechao Shang,@uchicago.edu,2313853,16
Jeffrey Xu Yu,,1718849,426
Carsten Binnig,@brown.edu,2691974,56
Lorenzo De Stefani,,34627565,9
Tim Kraska,@cs.berkeley.edu,1746961,175
Eli Upfal,@brown.edu,1735099,200
Emanuel Zgraggen,@brown.edu,1945956,21
Zheguang Zhao,@brown.edu,3361009,8
Tarek Elgamal,@illinois.edu,1940000,12
Shangyu Luo,@rice.edu,40298273,6
Mattias Boehm,@ibm.com,40237241,54
Alexandre V. Evfimievski,,3351526,23
Shirish Tatikonda,@target.com,1947100,32
Berthold Reinwald,,1698945,67
Prithviraj Sen,@us.ibm.com,40655309,32
Hideaki Kimura,@cs.brown.edu,32228637,101
Alkis Simitsis,@hpe.com,1695573,112
Kevin Wilkinson,@hpe.com,1918416,72
Shoumik Palkar,@stanford.edu,2642390,7
James J. Thomas,,34998803,69
Anil Shanbhag,@mit.edu,4012116,23
Deepak Narayanan,@cs.stanford.edu,22252150,8
Holger Pirk,@csail.mit.edu,2436756,26
Malte Schwarzkopf,@csail.mit.edu,1962485,39
Saman Amarasinghe,@mit.edu,35192281,77
Matei Zaharia,@cs.stanford.edu,1901948,82
Martin Kersten,@cwi.nl,8826771,177
Lefteris Sidirourgos,@cwi.nl,2469220,15
Ryan Marcus,@rmarcus.info,40412858,9
Olga Papaemmanouil,@cs.brandeis.edu,1967562,44
Siying Dong,,3389473,4
Mark Callaghan,,35651670,13
Leonidas Galanis,,2087881,13
Dhruba Borthakur,,1823828,56
Tony Savor,,2526663,18
Michael Strum,,38233464,2
Shumo Chu,@acm.org,1689575,13
Chenglong Wang,,1838891,111
Konstantin Weitz,@uw.edu,2560192,23
Alvin Cheung,,39866566,54
Badrish Chandramouli,@microsoft.com,2241445,72
Johannes Gehrke,@microsoft.com,1710965,262
Jonathan Goldstein,,37070730,80
Donald Kossmann,,1691108,227
Justin Levandoski,@microsoft.com,2386988,45
Renato Marroquin,,3454947,3
WenLei Xie,@linkedin.com,3120255,28
Tsung Tai Yeh,,31274102,6
Amit Sabne,@purdue.edu,1736081,15
Putt Sakdhnagool,,1693799,10
Rudolf Eigenmann,,1727592,209
Timothy G. Rogers,@purdue.edu,32632026,25
Tao B. Schardl,@mit.edu,2792832,19
William S. Moses,@mit.edu,16521420,7
Charles E. Leiserson,@mit.edu,1712661,186
Tal Ben-Nun,@cs.huji.ac.il,3243512,14
Michael Sutton,,38772073,12
Sreepathi Pai,@cs.rochester.edu,33403976,15
Keshav Pingali,@cs.utexas.edu,1776186,206
Xiongchao Tang,,1928916,7
Jidong Zhai,,2467444,33
Bowen Yu,,38849012,37
Wenguang Chen,,6301522,120
Weimin Zheng,@tsinghua.edu.cn,2225511,389
Michael Vollmer,@indiana.edu,2322230,43
Ryan G. Scott,,17853037,4
Madan Musuvathi,@microsoft.com,1702346,79
Ryan R. Newton,@indiana.edu,31778078,74
Martin Bättig,,28130536,1
Thomas R. Gross,@tomgross.net,1735078,236
Peizhao Ou,@uci.edu,2473889,4
Brian Demsky,,1707313,61
Milind Chabbi,@rice.edu,3294666,20
Halim Amer,@aurak.ac.ae,30563484,13
Shasha Wen,,2989804,9
Xu Liu,@cs.wm.edu,1785951,549
Panruo Wu,@cs.ucr.edu,39559311,30
Nathan DeBardeleben,@lanl.gov,1775855,58
Qiang Guan,@lanl.gov,1764948,82
Sean Blanchard,,2970218,25
Jieyang Chen,@ucr.edu,2506582,11
Dingwen Tao,@cs.ucr.edu,3058378,11
Xin Liang,@ucr.edu,40026298,68
Kaiming Ouyang,@ucr.edu,9547335,2
Zizhong Chen,@cs.ucr.edu,1756221,92
Rubens E. A. Moreira,,35710436,6
Sylvain Collange,@inria.fr,2990557,44
Fernando Magno Quintão Pereira,@dcc.ufmg.br,39907070,64
Xin3 Wang,,1705489,2459
Weihua Zhang,@fudan.edu.cn,1822115,304
Zhaoguo Wang,,8491577,17
Ziyun Wei,,9555458,1
Haibo Chen,@sjtu.edu.cn,1716528,262
Wenyun Zhao,,2636713,110
Nachshon Cohen,@cs.technion.ac.il,2898845,19
Arie Tal,@ariel.ac.il,2084183,6
Erez Petrank,@cs.technion.ac.il,2210090,109
Xiuxia Zhang,@ict.ac.cn,2477651,24
Guangming Tan,,1930057,88
Shuangbai Xue,,2044823,3
Jiajia Li,@gatech.edu,1708704,129
Keren Zhou,@mails.ucas.ac.cn,3372732,8
Mingyu Chen,@ict.ac.cn,2750388,93
Guoyang Chen,@ncsu.edu,2321965,14
Yue Zhao,@ncsu.edu,40007793,325
Xipeng Shen,@ncsu.edu,37914192,164
Huiyang Zhou,@ncsu.edu,38067595,82
Nirmal Prajapati,@colostate.edu,7235469,8
Waruna Ranasinghe,,33776892,7
Sanjay Rajopadhye,@colostate.edu,1747659,151
Rumen Andonov,@irisa.fr,2709194,71
Hristo Djidjev,@lanl.gov,2882782,66
Tobias Grosser,@inf.ethz.ch,1756389,44
Guy L. Steele Jr.,@oracle.com,6299439,117
Jean-Baptiste Tristan,@oracle.com,1755724,22
Bin Ren,@cs.wm.edu,2814321,158
Sriram Krishnamoorthy,@pnnl.gov,1679176,187
Kunal Agrawal,@wustl.edu,3379439,90
Milind Kulkarni,@purdue.edu,1700486,65
Hao Luo,@cs.rochester.edu,1681638,468
Chen Ding,@cs.rochester.edu,1716493,245
Peng Jiang,@osu.edu,1801523,360
Gagan Agrawal,@cse.ohio-state.edu,1742495,333
Dmitry Basin,,2470974,6
Edward Bortnikov,@yahoo-inc.com,1685240,38
Anastasia Braginsky,,3060519,7
Guy Golan Gueta,,2902643,20
Eshcar Hillel,,2829412,23
Idit Keidar,@ee.technion.ac.il,1777373,233
Moshe Sulamy,,2719320,9
Kento Sato,@llnl.gov,2605713,42
Dong H. Ahn,,1689086,43
Ignacio Laguna,@llnl.gov,1696759,43
Gregory L. Lee,,1682498,24
Martin Schulz,@llnl.gov,1772965,280
Christopher M. Chambreau,,9538540,1
Umut A. Acar,@cs.cmu.edu,1693687,129
Naama Ben-David,@cs.cmu.edu,2595046,10
Mike Rainey,@inria.fr,1847386,26
Robert Utterback,@wustl.edu,3256965,22
I-Ting Angelina Lee,@wustl.edu,37103946,27
Xiao Wang,@childrens.harvard.edu,33727877,130
Sherman Kisner,,3039737,10
Charles Bouman,@purdue.edu,1745655,290
Anand Raghunathan,@purdue.edu,1682337,322
Samuel Midkiff,,1697585,113
Alexander Matveev,@csail.mit.edu,2765439,30
Yaron Meirovitch,,1394161240,10
Hayk Saribekyan,,7564501,3
Wiktor Jakubiuk,,51385568,0
Timothy Kaler,@mit.edu,3164907,9
Gergely Odor,@mit.edu,31784584,5
David Budden,@csail.mit.edu,2508525,32
Aleksandar Zlateski,@mit.edu,3134596,12
Nir Shavit,,2613669,222
Samyam Rajbhandari,@microsoft.com,32817044,12
Fabrice Rastello,,1769780,86
Karol Kowalski,@pnnl.gov,2010968,81
P. Sadayappan,@cse.ohio-state.edu,1750948,352
Ammar Ahmad Awan,@osu.edu,2942686,15
Khaled Hamidouche,,1780048,59
Jahanzeb Maqbool Hashmi,@osu.edu,8798733,5
Dhabaleswar K. Panda,@cse.ohio-state.edu,1731654,577
Sergei Shudler,,2060408,7
Alexandru Calotoiu,,1835480,13
Torsten Hoefler,@inf.ethz.ch,1713648,212
Felix Wolf,@cs.tu-darmstadt.de,1684034,210
Lin Jiang,,39005989,198
Zhijia Zhao,@cs.ucr.edu,35356126,21
Mingcong Song,,3102340,10
Yang Hu,@utdallas.edu,38639927,106
Huixiang Chen,,2186316,13
Tao Li,,39429972,177
Jayesh Gaur,,38568238,13
Pradeep Ramachandran,,2256065,31
Sreenivas Subramoney,,1706165,14
Mohammad Alian,@illinois.edu,9528094,7
Ahmed Abulila,,10796153,2
Lokesh Jindal,,10757538,7
Daehoon Kim,@illinois.edu,1862763,49
Nam Sung Kim,@illinois.edu,1686484,157
Yuchen Hao,@cs.ucla.edu,8362396,9
Zhenman Fang,@cs.ucla.edu,3331952,22
Glenn Reinman,@cs.ucla.edu,1718128,108
Jason Cong,@cs.ucla.edu,2259796,550
Nathan Beckmann,@cmu.edu,2576892,32
Daniel Sanchez,@csail.mit.edu,39783437,115
Xiaodong Wang,@cornell.edu,1720841,888
Shuang1 Chen,@cornell.edu,1752664,356
Jeff Setter,@stanford.edu,5291030,2
José F. Martínez,@cornell.edu,40611011,58
Andreas Sembrant,@it.uu.se,2494078,20
David Black-Schaffer,@it.uu.se,1780873,50
Erik Hagersten,@it.uu.se,1759749,104
Rafael K. V. Maeda,,3421852,9
Qiong Cai,@apple.com,38183424,39
Jiang Xu,@ust.hk,40011763,149
Zhe1 Wang,@intel.com,1915826,930
Zhongyuan Tian,,7483417,10
Hari Cherupalli,@umn.edu,2504006,8
Henry Duwe,,3187702,16
Weidong Ye,@illinois.edu,7982124,13
Rakesh Kumar,@illinois.edu,8153371,426
John Sartori,@umn.edu,1813088,47
Karthik Rao,@gatech.edu,4367659,92
Jun Wang,@huawei.com,1715001,2156
Sudhakar Yalamanchili,,2933334,218
Yorai Wardi,,2279524,91
Handong Ye,,3210669,6
Reza Azimi,@brown.edu,1885681,40
Masoud Badiei,@g.harvard.edu,2202492,4
Xin Zhan,@brown.edu,2490490,64
Na Li,@seas.harvard.edu,1736069,1252
Sherief Reda,@brown.edu,1721621,110
Cristóbal Camarero,@unican.es,40458202,26
Carmen Martínez,@unican.es,10678545,379
Ramón Beivide,@unican.es,1762103,121
Sudhanshu Shukla,,1778378,78
Yebin Lee,,3186693,8
Hyeonggyu Kim,@kaist.ac.kr,3394118,7
Seokin Hong,@kaist.ac.kr,2766004,15
Soontae Kim,@kaist.ac.kr,3073201,78
Xun Jian,@vt.edu,2856285,27
Pavan Kumar Hanumolu,,1770635,162
Hasan Hassan,@inf.ethz.ch,40016363,24
Nandita Vijaykumar,@cmu.edu,1920997,14
Samira Khan,@virginia.edu,2781428,33
Saugata Ghose,@cmu.edu,33801185,51
Kevin R. Chang,@cmu.edu,23008160,18
Gennady Pekhimenko,@cs.toronto.edu,3257164,45
Donghyuk Lee,@nvidia.com,15895903,47
Oguz Ergin,@etu.edu.tr,1741511,74
Onur Mutlu,@inf.ethz.ch,1734461,331
Aniruddh Ramrakhyani,@gatech.edu,9553169,2
Tushar Krishna,@ece.gatech.edu,2526541,66
