name,gs_email,s2aid,s2npubs
Xin Cao,@unsw.edu.au,2324195,127
Gao Cong,@ntu.edu.sg,1737379,150
Jiaheng Lu,@helsinki.fi,1680607,86
Xuemin Lin,@cse.unsw.edu.au,2873542,327
Yu Chen,,1698602,1492
Ke Yi,@cse.ust.hk,1683893,134
Bo Tang,,40351860,76
Shi Han,,1715843,22
Man Lung Yiu,@comp.polyu.edu.hk,1722082,111
Rui Ding,,1879091,160
Dongmei Zhang,,1711277,307
Jose Picado,,32563772,14
Arash Termehchy,,3192362,40
Alan Fern,@eecs.oregonstate.edu,1791751,167
Parisa Ataei,@oregonstate.edu,3454984,3
Akhil Arora,@xerox.com,2644814,14
Sainyam Galhotra,@cs.umass.edu,2663974,14
Sayan Ranu,@iitd.ac.in,1699732,39
Xiaolan Wang,,1727689,143
Alexandra Meliou,@cs.umass.edu,2283085,44
Chen Chen,,40481129,55
Harshal Tushar Lehri,,10741766,1
Lay Kuan Loh,,31682740,7
Limin Jia,@cmu.edu,1758542,239
Junfeng Zhou,@ysu.edu.cn,2914356,71
Shijie Zhou,@usc.edu,1818568,116
Hao Wei,,1725477,142
Ziyang Chen,,1871595,55
Xian Tang,,35676781,67
Xiang Lian,@kent.edu,1800925,85
Dongchul Kim,@utrgv.edu,5570760,30
Haoqiong Bian,,2667024,5
Ying Yan,@microsoft.com,30563822,204
Wenbo Tao,@mit.edu,2893500,7
Liang Chen,,112995054,7079
Yueguo Chen,,1743832,49
Xiaoyong Du,,1688063,305
Thomas Moscibroda,,1715172,138
Vasilis Verroios,,2912732,14
Hector Garcia-Molina,@cs.stanford.edu,1695250,582
Abolfazl Asudeh,@mavs.uta.edu,1717283,13
Azade Nazi,@mavs.uta.edu,3038200,19
Nan Zhang,,36856144,147
Gautam Das,@uta.edu,1690440,249
Jiawei Jiang,,3452475,18
Bin Cui,@pku.edu.cn,1750622,173
Ce Zhang,@inf.ethz.ch,1776014,187
Lele Yu,@utexas.edu,2697681,12
Shoji Nishimura,@bk.jp.nec.com,2015383,26
Haruo Yokota,@cs.titech.ac.jp,1749641,135
Milos Nikolic,@cs.ox.ac.uk,33994059,102
Jinghan Meng,,3414165,5
Yicheng Tu,@delight.tu-tokyo.ac.jp,2812268,71
Luis Perez,@rice.edu,2248828,12
Zekai Gao,@rice.edu,2836500,5
Chris Jermaine,@cs.rice.edu,1741680,79
Lianghong Xu,@andrew.cmu.edu,2184366,17
Sudipta Sengupta,@microsoft.com,1690586,135
Lijun Chang,@cse.unsw.edu.au,38736958,60
Wei Li,,1688012,2952
Wenjie Zhang,@cse.unsw.edu.au,19262604,271
Samuel Haney,,39284749,9
Ashwin Machanavajjhala,@cs.duke.edu,2357165,88
John Abowd,@census.gov,2959751,78
Matthew Graham,@ed.ac.uk,1865055,150
Mark Kutzbach,@census.gov,10791164,7
Lars Vilhuber,@cornell.edu,3026156,33
Romila Pradhan,,10787402,2
Siarhei Bykau,@purdue.edu,2147072,15
Sunil Prabhakar,@purdue.edu,1771369,229
Wenfei Fan,@inf.ed.ac.uk,1777183,179
Jingbo Xu,@ed.ac.uk,2724949,23
Yinghui Wu,@eecs.wsu.edu,2948541,72
Jiaxin Jiang,,2969767,9
Zeyu Zheng,,34418171,53
Bohan Zhang,,2903546,14
Yang Cao,@ed.ac.uk,1740511,451
Chao Tian,,1692159,377
Kangfei Zhao,,8599669,4
Chunming Hu,,1767378,68
Ios Kotsogiannis,@cs.duke.edu,8817631,4
Gerome Miklau,@cs.umass.edu,1729605,78
Michael Hay,@colgate.edu,2103203,47
Kaan Kara,@inf.ethz.ch,34680313,11
Jana Giceva,@inf.ethz.ch,2811717,14
Gustavo Alonso,@inf.ethz.ch,1687400,291
Olga Poppe,@wpi.edu,3035292,13
Chuan Lei,,40536846,23
Salah Ahmed,,3681379,16
Elke Rundensteiner,@cs.wpi.edu,1715020,501
Caleb Horst,,39650803,5
Ryo Kikuchi,,2872966,28
Keita Xagawa,@lab.ntt.co.jp,2650377,36
Konstantinos Xirogiannopoulos,@cs.umd.edu,2343790,4
Jinhong Jung,,3214124,31
Namyong Park,,2867343,7
Sael Lee,@sunykorea.ac.kr,3130706,51
U Kang,@snu.ac.kr,1734930,204
Theodoros Rekatsinas,@stanford.edu,2652697,24
Manas Joglekar,@stanford.edu,2185778,25
Christopher Re,@cs.stanford.edu,1803218,198
Yuchen Li,@comp.nus.edu.sg,2159885,81
Ju Fan,@ruc.edu.cn,3232294,28
Dongxiang Zhang,@uestc.edu.cn,2712862,65
Kian-Lee Tan,,1688848,486
Ngai Meng Kou,@umac.mo,2991150,8
Yan Li,,1698571,2773
Hao Wang,@nju.edu.cn,39049654,1009
Leong Hou U,@umac.mo,1713638,48
Zhiguo Gong,,1735422,108
David Sidler,@inf.ethz.ch,2910553,11
Zsolt Istvan,@inf.ethz.ch,1753260,16
Muhsen Owaida,@inf.ethz.ch,2094139,21
Lucien Valstar,,10797369,1
George H. L. Fletcher,@tue.nl,2049346,197
Yuichi Yoshida,@nii.ac.jp,1680651,353
Zhiyi Wang,,8491987,80
Shimin Chen,@ict.ac.cn,3329563,79
Kayhan Dursun,@cs.brown.edu,2109345,9
Ugur Cetintemel,,2109957,116
Sergey Hardock,,2754784,11
Ilia Petrov,@reutlingen-university.de,40145493,70
Robert Gottstein,@dvs.tu-darmstadt.de,2252634,20
Alejandro Buchmann,@informatik.tu-darmstadt.de,1743524,206
Darko Makreshanski,@inf.ethz.ch,1897378,7
Claude Barthels,@inf.ethz.ch,3188030,6
Sanjib Das,,3160580,61
Paul Suganthan,,2304912,8
Anhai Doan,@cs.wisc.edu,3030274,148
Jeffrey Naughton,@cs.wisc.edu,5151034,217
Ganesh Krishnan,,27032261,14
Rohit Deep,,2349874,7
Esteban Arcaute,@walmartlabs.com,2506563,12
Vijay Raghavendra,@sasi.ac.in,39709126,8
Youngchoon Park,@kaist.ac.kr,33733502,24
Joshua Auerbach,@champlain.edu,1683544,40
Martin Hirzel,@us.ibm.com,1728836,82
Louis Mandel,@us.ibm.com,14976116,135
Avraham Shinnar,,2100468,26
Jerome Simeon,@clause.io,1753075,84
Kenneth S. Bøgh,@cs.au.dk,3103778,9
Sean Chester,@idi.ntnu.no,1738624,39
Darius Idlauskas,,3132288,15
Ira Assent,@cs.au.dk,1713664,92
Prashant Pandey,@cs.stonybrook.edu,1890685,56
Michael A. Bender,@cs.stonybrook.edu,33877556,158
Rob Johnson,@cs.stonybrook.edu,2387399,203
Jianguo Wang,,40362329,67
Chunbin Lin,@eng.ucsd.edu,40648346,125
Peng Cheng,,40129231,114
Hao Xin,,1850222,221
Lei Chen,@cse.ust.hk,37833805,705
Hui Li,@cs.hku.hk,1703309,2392
Tsz Nam Chan,@comp.polyu.edu.hk,2610571,3
Nikos Mamoulis,@cs.hku.hk,1718168,229
Yue Wang,@microsoft.com,1723309,1263
Yeye He,,2687810,22
Wentian Guo,,3393323,11
Chee-Yong Chan,@comp.nus.edu.sg,39712651,68
Anurag Khandelwal,@berkeley.edu,2712026,5
Zongheng Yang,@berkeley.edu,1867996,6
Evan Ye,@cs.ubc.ca,10771670,1
Yongjoo Park,@umich.edu,40155297,8
Ahmad Shahab Tajik,,9949978,1
Michael Cafarella,@umich.edu,1725561,72
Himchan Park,,2021341,6
Min-Soo Kim,@dgist.ac.kr,31959062,46
Hyeontaek Lim,@cs.cmu.edu,8939217,29
Michael Kaminsky,@intel.com,1762920,113
David G. Andersen,@cs.cmu.edu,34752743,144
Grant Schoenebeck,@umich.edu,1710013,53
Shaleen Deep,,34691891,6
Paraschos Koutris,@cs.washington.edu,1713920,38
Mayuresh Kunjir,@cs.duke.edu,3094459,9
Brandon Fain,,2605019,8
Kamesh Munagala,@cs.duke.edu,1679666,132
Shivnath Babu,,1778813,120
Jieying She,,1872111,17
Yongxin Tong,@sjtu.edu.cn,8230559,40
Tianshu Song,,3406090,7
Yasuhiro Fujiwara,,32130106,529
Naoki Marumo,,3049487,7
Mathieu Blondel,@mblondel.org,27257992,25
Koh Takeuchi,@lab.ntt.co.jp,2775065,98
Hideaki Kim,@nttdata.co.jp,2144822,13
Iwata Tomoharu,@lab.ntt.co.jp,2664600,97
Naonori Ueda,@lab.ntt.co.jp,1735221,122
Fisnik Kastrati,@informatik.uni-mannheim.de,2793795,7
Guido Moerkotte,@informatik.uni-mannheim.de,1809585,185
Elena Kakoulli,,1732624,10
Herodotos Herodotou,@cut.ac.cy,2013116,26
Saravanan Thirumuruganathan,@qf.org.qa,2934941,40
Laure Berti-Equille,@ird.fr,7219988,67
Jorge-Arnulfo Quiane-Ruiz,@qf.org.qa,1712430,52
Shuang2 Song,@eng.ucsd.edu,6970155,99
Yizhen Wang,,39475599,103
Kamalika Chaudhuri,@eng.ucsd.edu,38120884,131
Niccolo’ Meneghetti,,2131252,5
Wolfgang Gatterbauer,@cmu.edu,2000882,59
Muhammad Idris,,27639137,58
Stijn Vansummeren,@ulb.ac.be,1709642,65
Martin Ugarte,,2920800,13
Angela Bonifati,@univ-lyon1.fr,1699192,84
Ugo Comignani,@univ-lyon1.fr,10757249,1
Emmanuel Coquery,,1718479,39
Romuald Thion,@univ-lyon1.fr,1721642,23
Geoff Gordon,@cs.cmu.edu,1736834,148
Arvind Arasu,,1766422,48
Ken Eguro,,2747732,24
Raghav Kaushik,,1774634,70
Pingfan Meng,@eng.ucsd.edu,39504108,19
Vineet Pandey,@eng.ucsd.edu,2001538,13
Ravi Ramamurthy,,1708341,37
Chunzhi Su,,2812070,7
Chao Xie,,35386249,257
Natacha Crooks,@cs.utexas.edu,2174285,12
Cong Ding,@cs.cornell.edu,40499672,30
Lorenzo Alvisi,@cs.cornell.edu,2445753,162
Pritom Ahmed,@ucr.edu,15509874,4
Mahbub Hasan,@cs.ucr.edu,34690612,78
Abhijith Kashyap,,2466261,19
Vagelis Hristidis,@cs.ucr.edu,1754970,122
Vassilis J. Tsotras,@cs.ucr.edu,1761528,188
Tien Tuan Anh Dinh,@comp.nus.edu.sg,3088916,25
Ji Wang,,5107518,771
Gang Chen,,39076756,173
Rui3 Liu,@comp.nus.edu.sg,1684598,803
Beng Chin Ooi,@comp.nus.edu.sg,1693070,367
Zhongjun Jin,@umich.edu,2848828,5
Michael R. Anderson,@dtu.dk,1758386,36
H. V. Jagadish,@umich.edu,1735239,322
Guoliang Li,@tsinghua.edu.cn,23492509,313
Chengliang Chai,,3416315,54
Xueping Weng,,39163188,7
Jian Li,@tsinghua.edu.cn,26846526,1142
Yudian Zheng,@cs.hku.hk,2985907,19
Yuanbing Li,,4769653,4
Xiang Yu,,38438821,140
Xiaohang Zhang,,2285128,46
Haitao Yuan,@bjtu.edu.cn,34825854,43
Todd Warszawski,,2155642,2
Victor Junqiu Wei,,10762356,2
Raymond Chi-Wing Wong,@cse.ust.hk,1723745,123
Cheng Long,@qub.ac.uk,1709267,166
David Mount,@cs.umd.edu,1709509,175
Immanuel Trummer,@cornell.edu,2636156,18
Anshuman Dutt,@microsoft.com,2387745,4
Vivek Narasayya,,1765803,78
Surajit Chaudhuri,@theiet.org,1728620,275
Weijie Zhao,@ucmerced.edu,3083209,75
Florin Rusu,@ucmerced.edu,2289824,53
Bin Dong,@lbl.gov,39131579,207
Zoi Kaoudi,@qf.org.qa,2827559,24
Jorge Arnulfo Quiane Ruiz,@qf.org.qa,1712430,52
Sanjay Chawla,@sydney.edu.au,1756323,212
Divyakant Agrawal,@cs.ucsb.edu,1724045,434
Elias Stehle,@in.tum.de,8562471,1
Hans-Arno Jacobsen,@eecg.toronto.edu,1738552,314
Kyriakos Mouratidis,@smu.edu.sg,1753946,60
Naoto Ohsaka,@is.s.u-tokyo.ac.jp,2628935,13
Tomohiro Sonobe,,2811963,7
Sumio Fujita,,33208854,41
Ken-Ichi Kawarabayashi,@nii.ac.jp,1743527,302
Kai Herrmann,@tu-dresden.de,40466466,31
Hannes Voigt,@tu-dresden.de,3320376,51
Andreas Behrend,@cs.uni-bonn.de,3193518,91
Jonas Rausch,,2765285,4
Wolfgang Lehner,@tu-dresden.de,7337091,413
Xi Wu,@cs.wisc.edu,37785191,102
Fengan Li,,9539166,2
Arun Kumar,,36812927,652
Somesh Jha,@cs.wisc.edu,1680133,213
Abhishek Roy,@cs.umass.edu,1800402,124
Yanlei Diao,@cs.umass.edu,1891854,80
Toby Bloom,@nygenome.org,1707880,30
Uday Evani,@nygenome.org,10776562,2
Clinton Howarth,,31890802,4
Michael Kester,,3109687,12
Manos Athanassoulis,@seas.harvard.edu,1840402,28
Stratos Idreos,@seas.harvard.edu,2203901,79
Junhao Gan,@uq.edu.au,2445536,5
Yufei Tao,@cse.cuhk.edu.hk,1802067,199
Abdul Wasay,@g.harvard.edu,3224854,7
Tilmann Rabl,@tu-berlin.de,1731210,72
Brett Walenz,,39614837,13
Sudeepa Roy,@cs.duke.edu,31938009,39
Jun1 Yang,,2845918,187
Niv Dayan,,3242478,9
Asif Khan,@stanford.edu,38152002,11
Amit Chavan,@cs.umd.edu,33651904,15
Ioannis Demertzis,@umd.edu,3416132,4
Charalampos Papamanthou,@umd.edu,1790969,69
Simone Bova,,36074345,46
Stefan Szeider,@szeider.net,1701841,152
Bas Ketsman,@uhasselt.be,1977696,11
Christoph Berkholz,,2321666,19
Jens Keppeler,,9560380,3
Nicole Schweikardt,@informatik.hu-berlin.de,1691736,94
Di Xiao,,2225575,266
Yi Cui,@cse.tamu.edu,2041657,458
Daren B. H. Cline,,34983248,27
Dmitri Loguinov,@loguinov.com,1737609,122
Meghyn Bienvenu,,1764889,77
Stanislav Kikot,@dcs.bbk.ac.uk,1788762,29
Roman Kontchakov,@dcs.bbk.ac.uk,1721171,102
Vladimir Podolskii,@mi.ras.ru,1835798,31
Vladislav Ryzhikov,@inf.unibz.it,1735935,65
Michael Zakharyaschev,@dcs.bbk.ac.uk,1749505,200
Tarun Kathuria,,3237687,7
S. Sudarshan,@cse.iitb.ac.in,1743429,125
Mario Alviano,@mat.unical.it,1775574,59
Michael Morak,,1786782,37
Andreas Pieris,@inf.ed.ac.uk,1771740,63
Shiva Kasiviswanathan,@samsung.com,2216430,60
Kobbi Nissim,@georgetown.edu,2480999,85
Hongxia Jin,,1705713,137
Michael Benedikt,@cs.ox.ac.uk,1750856,155
George Konstantinidis,@cs.ox.ac.uk,40404585,40
Giansalvatore Mecca,@unibas.it,1785690,104
Boris Motik,@cs.ox.ac.uk,1703160,142
Paolo Papotti,@asu.edu,1802817,90
Donatello Santoro,@unibas.it,2292020,27
Efthymia Tsamoura,,2181980,26
Benny Kimelfeld,@cs.technion.ac.il,1679226,89
Vladimir Braverman,@cs.jhu.edu,1808863,50
Stephen Chestnut,@ifor.math.ethz.ch,2225550,11
Nikita Ivkin,,2696609,5
Jelani Nelson,@seas.harvard.edu,1757306,231
Zhengyu Wang,,2574148,80
David Woodruff,@us.ibm.com,1727403,213
Mahmoud Abo Khamis,@buffalo.edu,31117574,11
Hung Ngo,@buffalo.edu,1692185,86
Jan Hidders,@tudelft.nl,1687456,97
Jan Paredaens,,1717880,143
Jan Van den Bussche,@uhasselt.be,1713880,196
Ester Livshits,,3372542,39
André Hernich,@liverpool.ac.uk,1758590,26
Carsten Lutz,@uni-bremen.de,1707504,228
Fabio Papacchini,@liverpool.ac.uk,2339999,11
Frank Wolter,@liverpool.ac.uk,1681559,270
Nofar Carmeli,,3393481,4
Batya Kenig,,2831260,18
Xiao Hu,,1713285,434
Haoyue Ping,,23625026,5
Julia Stoyanovich,@drexel.edu,1682824,57
Yaacov Y. Weiss,@ldeo.columbia.edu,2368056,6
Sara Cohen,@cs.huji.ac.il,39279200,109
Nadime Francis,,2438650,8
Leonid Libkin,@inf.ed.ac.uk,1681226,242
Ping Lu,,1723390,442
David Eppstein,@uci.edu,1719358,406
Michael Goodrich,@uci.edu,1679615,368
Michael Mitzenmacher,@eecs.harvard.edu,1745699,268
Manuel Torres,,2770558,10
Sepehr Assadi,@seas.upenn.edu,35067898,25
Martin Farach-Colton,@cs.rutgers.edu,1680147,135
Simon Mauras,@ens-lyon.fr,10673138,1
Tyler Mayer,@stonybrook.edu,40223468,4
Cynthia Phillips,@sandia.gov,2652269,68
Helen Xu,,3245149,29
Priya Govindan,@cs.rutgers.edu,2707325,11
Morteza Monemizadeh,@umiacs.umd.edu,3335223,26
Muthu Muthukrishnan,@cs.rutgers.edu,1711192,416
Zengfeng Huang,@unsw.edu.au,3251920,18
Ying3 Zhang,@uts.edu.au,36890630,245
Pierre Bourhis,@univ-lille1.fr,1807924,55
Juan L. Reutter,@ing.puc.cl,2478931,50
Fernando Suarez,,37163793,50
Domagoj Vrgoc,@ing.puc.cl,2434366,29
Antoine Amarilli,@a3nm.net,2441482,55
Mikael Monet,,3432118,6
Pierre Senellart,@ens.fr,1734682,191
Gal Yehuda,,3393459,2
Daniel Keren,,33438590,119
Islam Akaria,,2379080,3
Patrick Flick,@gatech.edu,34973108,9
Srinivas Aluru,@cc.gatech.edu,1740375,191
Ariful Azad,@lbl.gov,3032988,33
Mathias Jacquelin,@lbl.gov,2955257,28
Aydin Buluc,@lbl.gov,2238795,59
Esmond Ng,,40137540,78
Maciej Besta,@inf.ethz.ch,2919642,13
Florian Marending,,19322066,1
Edgar Solomonik,@illinois.edu,2880213,35
Haidong Lan,,2827531,7
Weiguo Liu,,3429925,314
Yongchao Liu,@gatech.edu,2916386,100
Bertil Schmidt,@uni-mainz.de,38613433,192
Yuandong Chan,,2812433,5
Kai Xu,,31638960,366
Jing Zhang,@vt.edu,2266189,2471
Sanchit Misra,,3215200,28
Hao Wang,@vt.edu,34266162,59
Wu Feng,@vt.edu,145476815,119
Jie Wang,@g.ucla.edu,1729576,1321
Xinfeng Xie,@umail.ucsb.edu,3190420,14
Bingchao Li,,2326844,5
Jizhou Sun,,35900806,166
Qi Zeng,,40163311,79
Jih-Kwon Peir,,1759383,71
Jiguang Wan,,1776259,43
Wei Wu,,1721131,1472
Ling Zhan,,6540942,25
Qing Yang,,34330412,337
Xiaoyang Qu,,2624637,8
Changsheng Xie,,2072948,274
Pengcheng Li,@cs.rochester.edu,40205336,83
Dhruva R. Chakrabarti,,1804605,34
Liang Yuan,,32967785,151
Song Wu,@hust.edu.cn,1685757,304
Chao Niu,,1714812,91
Jia Rao,@uta.edu,1786877,87
Hai Jin,@hust.edu.cn,2156156,1143
Xiaohai Dai,,19208996,1
Hao He,,7146460,265
Jiang Hu,,33797843,458
Dilma da Silva,@cse.tamu.edu,2045541,61
Jie Zhang,@osu.edu,1698586,2096
Swann Perarnau,@anl.gov,2042271,19
Judicael A. Zounmevo,@linux.com,2381933,15
Matthieu Dreher,@anl.gov,40293316,21
Brian C. Van Essen,@llnl.gov,19244667,4
Roberto Gioiosa,@pnnl.gov,1695375,65
Kamil Iskra,@mcs.anl.gov,1700811,64
Maya Gokhale,,1695549,110
Kazutomo Yoshii,@mcs.anl.gov,1696668,30
Pete Beckman,@mcs.anl.gov,1709765,55
Andrea Clementi,@mat.uniroma2.it,1702236,94
Luciano Gualà,@mat.uniroma2.it,3223655,40
Guido Proietti,@univaq.it,1805060,111
Giacomo Scornavacca,,7742326,3
Calvin Newport,@cs.georgetown.edu,1779678,83
Karine Altisen,@imag.fr,1735891,47
Ajoy K. Datta,@unlv.edu,27396610,48
Stéphane Devismes,@imag.fr,2996049,81
Anaïs Durand,@univ-grenoble-alpes.fr,38435293,7
Lawrence L. Larmore,@unlv.edu,2355852,137
Petra Berenbrink,,2028147,94
Peter Kling,@sfu.ca,1704036,64
Christopher Liaw,,3382597,6
Abbas Mehrabian,@cs.ubc.ca,1685567,34
Hiroshi Nakashima,@kais.kyoto-u.ac.jp,31344273,256
Yoshiki Summura,,19312747,1
Keisuke Kikura,,19218543,1
Yohei Miyake,,1891277,13
Amrita Mathuriya,@intel.com,2300090,6
Ye Luo,@anl.gov,37082461,106
Anouar Benali,@anl.gov,3444715,8
Luke Shulenburger,@sandia.gov,2692314,15
Jeongnim Kim,@intel.com,2718090,41
Kshitij Mehta,@ornl.gov,37112455,5
Maxime Hugues,@total.com,40389252,22
Oscar Hernandez,@ornl.gov,32288862,42
Henri Calandra,,3329218,41
David E. Bernholdt,,1785240,87
Eric Bylaska,@pnnl.gov,2418932,51
Wibe De Jong,@lbl.gov,39220346,10
Xubin Tan,,3408435,4
Jaume Bosch,,31846152,149
Miquel Vidal,@bsc.es,2023320,56
Carlos Álvarez,,32341249,54
Daniel Jiménez-González,,2048264,43
Eduard Ayguade,@ac.upc.edu,1744495,397
Halit Dogan,@uconn.edu,39970946,3
Masab Ahmad,@uconn.edu,38337485,15
Farrukh Hijaz,@uconn.edu,3345702,14
Brian Kahne,,3080282,10
Peter Wilson,,2013672,915
Omer Khan,@uconn.edu,1767824,82
Xiang Pan,@cse.ohio-state.edu,1884304,124
Anys Bacha,@umich.edu,26831180,4
Radu Teodorescu,@cse.ohio-state.edu,3084320,39
Syed M. A. H. Jafri,@kth.se,37824333,35
Ahmed Hemani,@kth.se,9113752,155
Kolin Paul,@cse.iitd.ac.in,1750558,120
Naeem Abbas,@pnec.nust.edu.pk,2422864,73
Biagio Cosenza,@tu-berlin.de,2302342,41
Juan J. Durillo,@dps.uibk.ac.at,21490411,6
Stefano Ermon,,2490652,99
Ben Juurlink,@tu-berlin.de,1717074,197
Sabela Ramos,@udc.es,25440110,21
David Beckingsale,@llnl.gov,2309393,18
Olga Pearce,@cs.tamu.edu,2217777,10
Todd Gamblin,@llnl.gov,33289410,85
Ryan Friese,@pnnl.gov,19231918,2
Nathan R. Tallent,@pnnl.gov,3247453,41
Abhinav Vishnu,@pnnl.gov,1692279,91
Darren J. Kerbyson,,1715527,143
Keishla D Ortiz-Lopez,@tamu.edu,19232880,1
Jennifer Welch,@cse.tamu.edu,1717914,168
Magnus M. Halldórsson,@ru.is,1717015,188
Tigran Tonoyan,@ru.is,2104997,21
Yuexuan Wang,,7708260,93
Dongxiao Yu,@cs.hku.hk,34707388,74
Paweł Garncarek,,39611936,4
Tomasz Jurdziński,@cs.uni.wroc.pl,1681361,62
Krzysztof Loryś,,2878308,31
Amnon Barak,,2780481,84
Amnon Shiloh,,40399772,17
Zvi Drezner,@fullerton.edu,1682521,150
Hao Xu,,1742479,697
Alfredo Gimenez,,31074563,10
Hui Zhang,@cs.umd.edu,1688592,1893
Jeffrey K. Hollingsworth,@cs.umd.edu,1754659,174
Young Wn Song,@asu.edu,3278547,5
Yann-Hang Lee,,1721119,117
Gokcen Kestor,@ornl.gov,1746771,30
Wenjing Ma,,33955807,88
Antonino Tumeo,@pnnl.gov,2606269,91
Jian Yin,,1700855,452
Thomas Warfel,,2616994,7
David Haglin,@pnnl.gov,1774041,60
Santiago Betelu,,2706560,21
Jiyan Sun,,2840209,6
Yan Zhang,,32055832,265
Xin4 Wang,,1705489,2459
Shihan Xiao,@mails.tsinghua.edu.cn,1994540,9
Zhen Xu,,2100058,219
Hongjing Wu,,1703429,28
Xin Chen,,1719935,1522
Yanni Han,,8361658,39
Yi Dai,,39763339,182
Kefei Wang,,7200817,46
Gang Qu,@umd.edu,1743393,230
Liquan Xiao,,1771507,28
Dezun Dong,@nudt.edu.cn,39891717,36
Xingyun Qi,,3204113,16
Xiang Ni,@ibm.com,3209205,40
Laxmikant V. Kale,@illinois.edu,1731961,341
Jan Wróblewski,,15539522,59
Kazuaki Ishizaki,@acm.org,34806932,27
Hiroshi Inoue,@jp.ibm.com,23929870,764
Moriyoshi Ohara,@jp.ibm.com,3165589,32
Hong2 Zhang,,1734058,1940
Hai Huang,,1723513,501
Liqiang Wang,@cs.ucf.edu,9467302,198
Samuel K. Gutiérrez,@lanl.gov,2673238,7
Kei Davis,@lanl.gov,7645272,103
Dorian Arnold,@cs.unm.edu,1689138,60
Randal S. Baker,,37509486,10
Robert W. Robey,,2768905,88
Patrick McCormick,,34694816,30
Daniel Holladay,@lanl.gov,15037751,10
Jon A. Dahl,,31418261,1
R. Joe Zerr,,19269703,3
Florian Weik,,12419611,7
Christoph Junghans,@lanl.gov,1711228,27
Yuechao Pan,@ucdavis.edu,2170241,11
Yangzihao Wang,@google.com,1772360,10
Yuduo Wu,@ucdavis.edu,1929145,5
Carl Yang,@ucdavis.edu,2695365,20
John D. Owens,@ece.ucdavis.edu,1758404,127
Manuel Alcántara,,13121022,16
Armando Castañeda,@im.unam.mx,38307043,37
David Flores-Peñaloza,@ciencias.unam.mx,2913070,19
Sergio Rajsbaum,@im.unam.mx,1718101,193
Akhil Krishnan,,11960766,4
Mikhail Markov,,32847772,3
Borzoo Bonakdarpour,@mcmaster.ca,1746401,99
Gokarna Sharma,@kent.edu,1749522,46
Ramachandran Vaidyanathan,,1725541,78
Jerry L. Trahan,@lsu.edu,2582238,64
Costas Busch,@csc.lsu.edu,1932642,122
Suresh Rai,,39840790,59
Vincent T. Lee,,31901851,50
Justin Kotalik,,3451487,12
Carlo C. del Mundo,@uw.edu,2896556,8
Armin Alaghi,@cs.washington.edu,1698528,41
Luis Ceze,@cs.washington.edu,1717411,168
Mark Oskin,@cs.washington.edu,1723213,106
Yulong Ao,,3341167,6
Chao Yang,,39408447,80
Xinliang Wang,,3303339,49
Wei Xue,@tsinghua.edu.cn,1712301,359
Haohuan Fu,@tsinghua.edu.cn,1711877,96
Fangfang Liu,,1702887,269
Lin Gan,,38512584,235
Ping Xu,,1724368,237
Bram Veenboer,,19252730,2
Matthias Petschow,,1776907,13
John W. Romein,,1722141,36
Beverly A. Sanders,,2932353,61
Jason N. Byrd,@ensco.com,7301435,12
Nakul Jindal,@ufl.edu,2712027,6
Victor F. Lotrich,,34851048,13
Dmitry Lyakh,@ornl.gov,31938628,1
Ajith Perera,,36824435,28
Rodney J. Bartlett,@qtp.ufl.edu,2774852,132
Shun Yao,@stonybrook.edu,2964052,124
Dantong Yu,@njit.edu,33830021,80
Xuewen Cui,@vt.edu,2212753,6
Thomas R. W. Scogland,@llnl.gov,2125407,33
Bronis R. de Supinski,,1687845,227
Xiaoqing Luo,,1855827,32
Frank Mueller,@cs.ncsu.edu,1684152,295
Philip Carns,@mcs.anl.gov,2797656,67
Jonathan Jenkins,,38538207,17
Robert Latham,@mcs.anl.gov,1692762,117
Shane Snyder,,39683248,100
Jen-Cheng Huang,,40429127,9
Da Zhang,@vt.edu,1948380,253
Sarunya Pumma,@vt.edu,1938539,7
Jiarui Fang,@mails.tsinghua.edu.cn,2338627,7
Wenlai Zhao,,2694567,10
Bingwei Chen,,6464022,21
Weijie Zheng,,2793777,10
Guangwen Yang,,1689072,184
Md. Naim,,36197595,4
Fredrik Manne,@ii.uib.no,2296505,83
Mahantesh Halappanavar,@pnnl.gov,3285377,67
Heng Lin,,2569311,135
Youwei Zhuo,@usc.edu,10716503,6
Wanwang Yin,,22987925,5
George M. Slota,@rpi.edu,2874809,13
Sivasankaran Rajamanickam,@sandia.gov,1750699,41
Kamesh Madduri,@cse.psu.edu,2421239,98
Karen Devine,@sandia.gov,1782490,169
Jianyu Huang,@cs.utexas.edu,1914477,34
Leslie Rice,,39967103,6
Devin Matthews,@utexas.edu,1849855,19
Robert Van De Geijn,@cs.utexas.edu,9151878,228
Mathieu Faverge,@inria.fr,2351024,42
Julien Langou,@ucdenver.edu,1786954,92
Yves Robert,@ens-lyon.fr,1735015,394
Jack Dongarra,@icl.utk.edu,1708869,959
Tobias Wicky,,7541393,2
Abdulaziz Tabbakh,,12199006,4
Ningyuan Wang,,3450932,31
Rahul Boyapati,@tamu.edu,2949392,8
Jiayi Huang,,3406930,100
Kyung Hoon Kim,@khu.ac.kr,2224877,67
Ki Hwan Yum,,1680392,44
Eun Jung Kim,@cse.tamu.edu,1692009,152
Yuanyuan Yang,@stonybrook.edu,33830008,486
Thang Cao,,12898292,7
