name,gender,n_female,n_male
"Xia, Shu-Tao",M,NA,NA
"Xu, Weidi",M,1,2
"Sun, Haoze",M,1,2
"Deng, Chao",M,1,2
"Tan, Ying",F,0,3
"Song, Xinhang",F,0,3
"Herranz, Luis",M,1,1
"Jiang, Shuqiang",M,1,6
"Li, Qian",F,NA,NA
"Wong, Zhichao",M,1,0
"Ma, Yihui",F,2,3
"Jia, Jia",F,NA,NA
"Zhou, Suping",F,2,3
"Fu, Jingtian",M,3,2
"Liu, Yejun",M,3,2
"Tong, Zijian",M,3,2
"Gollapalli, Sujatha Das",F,0,1
"Li, Xiao-Li",M,3,2
"Ning, Yishuang",F,NA,NA
"Wu, Zhiyong",M,NA,NA
"Li, Runnan",NA,4,4
"An, Yongsheng",M,NA,NA
"Xu, Mingxing",M,NA,NA
"Wang, Yanfeng",M,NA,NA
"Meng, Helen",F,NA,NA
"Cai, Lianhong",F,NA,NA
"Leeuwen, Coen Van",M,0,1
"Pawelczak, Przemyslaw",M,0,1
"Li, Xiaohong",F,0,4
"Li, Shuxin",M,1,3
"Hao, Jianye",M,1,3
"Feng, Zhiyong",M,1,10
"An, Bo",M,NA,NA
"Yao, Liang",M,2,4
"Zhang, Yin",M,4,8
"Wei, Baogang",M,2,4
"Jin, Zhe",F,1,5
"Zhang, Rui",M,3,8
"Zhang, Yangyang",M,2,4
"Chen, Qinfei",F,1,5
"Zhu, Kai",M,0,2
"Chen, Zhen",M,0,2
"Ying, Lei",M,0,2
"Feng, Shanshan",F,0,3
"Cong, Gao",M,NA,NA
"Chee, Yeow Meng",M,1,2
"Nori, Nozomi",F,0,4
"Kashima, Hisashi",M,2,4
"Yamashita, Kazuto",M,1,3
"Kunisawa, Susumu",M,1,3
"Imanaka, Yuichi",M,1,3
"Ding, Ying",F,1,1
"Yu, Jianfei",M,2,0
"Jiang, Jing",F,NA,NA
"Han, The Anh",M,0,3
"Pereira, Luis Moniz",M,0,3
"Martinez-Vaquero, Luis A.",M,0,3
"Lenaerts, Tom",M,0,3
"Nguyen, Vu-Linh",M,1,1
"Destercke, Sebastien",M,1,1
"Masson, Marie-Helene",F,0,2
"Ilievski, Ilija",M,1,2
"Feng, Jiashi",M,NA,NA
"Akhtar, Taimoor",M,1,2
"Shoemaker, Christine",F,0,3
"Cao, Zhangjie",M,0,4
"Yang, Qiang",M,0,6
"Wang, Wei",M,NA,NA
"Zhang, Chen",F,0,3
"Yang, Gao",M,1,2
"Chen, Kehai",M,0,3
"Zhao, Tiejun",M,0,6
"Yang, Muyun",M,0,3
"Liu, Lemao",M,0,6
"Liu, Hong",M,NA,NA
"Ji, Rongrong",F,NA,NA
"Wu, Yongjian",M,NA,NA
"Huang, Feiyue",M,NA,NA
"Lin, Shaohui",M,1,2
"Chen, Chao",M,3,12
"Li, Bofang",F,0,2
"Liu, Tao",M,1,1
"Zhao, Zhe",M,1,1
"Hernich, Andre",M,0,2
"Lemos, Julio",M,0,2
"Wolter, Frank",M,0,2
"Su, Qinliang",M,0,4
"Liao, Xuejun",M,0,4
"Li, Chunyuan",M,2,10
"Gan, Zhe",M,3,19
"Carin, Lawrence",M,7,31
"Yang, Erkun",M,1,4
"Li, Jie",F,0,5
"Gao, Xinbo",M,1,4
"Kang, Zhao",M,0,2
"Peng, Chong",M,0,2
"Cheng, Qiang",M,0,2
"Fan, Mingyu",M,0,2
"Chang, Xiaojun",M,NA,NA
"Xu, Jie",M,10,17
"Han, Yuli",F,1,2
"Marcu, Daniel",M,2,1
"Schaar, Mihaela Van Der",F,1,8
"Zhang, Fan",M,NA,NA
"Zhang, Ying",F,1,3
"Qin, Lu",M,2,2
"Zhang, Wenjie",F,1,3
"Lin, Xuemin",M,2,2
"Elhoseiny, Mohamed",M,0,7
"Cohen, Scott",M,2,12
"Chang, Walter",M,0,5
"Price, Brian",M,2,7
"Elgammal, Ahmed",M,0,7
"Chen, Minghai",M,0,5
"Zhao, Sicheng",M,0,6
"Chen, Hui",M,0,5
"Liu, Qiang",M,0,5
"Liu, Zemin",M,0,7
"Zhu, Fanwei",M,0,6
"Chang, Kevin Chen-Chuan",M,0,7
"Wu, Minghui",M,0,6
"Ying, Jing",M,0,6
"Laroche, Romain",M,0,6
"Barlier, Merwan",M,0,1
"Liu, Meng",F,1,7
"Xu, Chang",M,1,5
"Yong, Luo",M,1,4
"Xu, Chao",M,1,13
"Wen, Yonggang",M,1,4
"Yu, Xin",F,0,1
"Porikli, Fatih",M,3,5
"Wang, Yunhe",M,0,3
"Walraven, Erwin",M,0,3
"Spaan, Matthijs T. J.",M,0,3
"Banihashemi, Bita",F,0,2
"Giacomo, Giuseppe De",M,1,4
"Lesperance, Yves",M,1,1
"Caridroit, Thomas",M,0,4
"Lagniez, Jean Marie",M,0,4
"Berre, Daniel Le",M,0,4
"Lima, Tiago De",M,0,4
"Montmirail, Valentin",M,0,4
"Wang, Zheng",M,NA,NA
"Wang, Chaokun",M,0,5
"Pei, Jisheng",M,0,3
"Ye, Xiaojun",M,0,3
"Ao, Shuang",M,0,1
"Li, Xiang",M,1,11
"Benade, Gerdus",M,0,3
"Nath, Swaprava",M,0,3
"Procaccia, Ariel",M,1,11
"Shah, Nisarg",M,0,3
"Cohen-Solal, Quentin",M,1,1
"Bouzid, Maroua",F,0,2
"Niveau, Alexandre",M,1,1
"Shang, Wenling",F,0,6
"Chiu, Justin",M,1,1
"Sohn, Kihyuk",M,1,1
"Cohen, Eldan",M,0,1
"Beck, J. Christopher",M,0,1
"Yuan, Ganzhao",M,0,5
"Ghanem, Bernard",M,1,8
"Zhao, Handong",M,0,2
"Ding, Zhengming",M,2,4
"Fu, Yun",M,2,11
"Wang, Shuyang",F,0,4
"Cao, Shaosheng",M,0,1
"Lu, Wei",M,2,10
"Li, Zechao",M,0,6
"Tang, Jinhui",M,0,6
"Shen, Xu",M,1,2
"Tian, Xinmei",F,0,3
"Sun, Shaoyan",M,1,2
"Li, Shuangyin",M,1,3
"Zhang, Yu",M,NA,NA
