name,gender,n_female,n_male
"Thebault-Spieker, Jacob",M,5,12
"Degraen, Donald",M,4,8
"Fischman, Benjamin",M,4,8
"Hakkila, Jonna",F,4,10
"Nisi, Valentina",F,3,9
"Nunes, Nuno Jardim",M,4,8
"Wenig, Nina",F,3,9
"Dasgupta, Aritra",M,1,2
"Burrows, Susannah",F,0,3
"Han, Kyungsik",M,1,2
"Rasch, Philip J.",M,1,2
"Chen, Xiuli",F,1,2
"Starke, Sandra Dorothee",F,1,2
"Baber, Chris",M,2,1
"Howes, Andrew",M,4,6
"Hull, Carmen",F,0,1
"Willett, Wesley",M,2,2
"Kery, Mary Beth",F,1,1
"Horvath, Amber",F,1,1
"Myers, Brad",M,3,3
"Koesten, Laura M.",F,3,0
"Kacprzak, Emilia",F,3,0
"Tennison, Jenifer F. A.",F,3,0
"Simperl, Elena",F,3,0
"Matejka, Justin",M,0,1
"Fitzmaurice, George",M,1,6
"Kangasraasio, Antti",M,1,4
"Athukorala, Kumaripaba",F,0,5
"Corander, Jukka",M,1,4
"Kaski, Samuel",M,2,10
"Oulasvirta, Antti",M,2,15
"Liu, Wanyu",F,NA,NA
"Bailly, Gilles",M,3,5
"Mcnaney, Roisin",F,0,5
"Mercer, Jamie",M,1,4
"Mexter, Leon",M,1,4
"Welsh, Daniel",M,1,4
"Young, Tony",M,1,4
"Mccarthy, John",M,2,0
"Pantidi, Nadia",F,1,1
"Long, Kiel",M,6,10
"Bakewell, Lyndsey L.",F,4,5
"Mcnaney, Roisin C.",F,4,5
"Vasileiou, Konstantina",F,4,5
"Atkinson, Mark",M,5,4
"Barreto, Manuela",F,4,5
"Barnett, Julie",F,5,11
"Wilson, Michael",M,5,4
"Tabor, Aaron",M,1,3
"Bateman, Scott",M,1,5
"Scheme, Erik",M,1,3
"Gerling, Kathrin",F,0,4
"Bartram, Lyn",F,1,1
"Patra, Abhisekh",M,2,0
"Stone, Maureen",F,1,1
"Kim, Yea-Seul",F,2,0
"Reinecke, Katharina",F,6,6
"Hullman, Jessica",F,4,4
"Correll, Michael",M,0,1
"Heer, Jeffrey",M,3,8
"Chang, Chunlei",M,0,3
"Bach, Benjamin",M,0,3
"Dwyer, Tim",M,0,3
"Marriott, Kim",M,0,3
"Kollenburg, Janne Van",F,2,2
"Bogers, Sander",M,3,1
"Deckers, Eva",F,2,2
"Frens, Joep",M,3,1
"Hummels, Caroline",F,2,2
"Hoang, Thuong",M,2,6
"Reinoso, Martin",M,0,4
"Joukhadar, Zaher",M,2,6
"Vetere, Frank",M,NA,NA
"Kelly, David",M,0,4
"Culbertson, Gabriel",M,1,2
"Shen, Solace",F,0,3
"Jung, Malte",M,1,2
"Vorvoreanu, Mihaela",F,1,2
"Gray, Colin M.",M,2,1
"Parsons, Paul",M,2,1
"Rasche, Nancy",F,1,2
"Shorey, Paden",M,1,0
"Girouard, Audrey",F,0,1
"Roo, Joan Sol",NA,0,3
"Gervais, Renaud",M,NA,NA
"Frey, Jeremy",M,NA,NA
"Lopes, Pedro",M,0,4
"You, Sijing",M,2,13
"Cheng, Lung-Pan",M,0,8
"Marwecki, Sebastian",M,0,4
"Sobel, Kiley",F,11,6
"Bhattacharya, Arpita",F,3,4
"Hiniker, Alexis",M,5,1
"Lee, Jin Ha",F,3,2
"Kientz, Julie A.",F,11,10
"Yip, Jason C.",M,9,1
"Bergstrom-Lehtovirta, Joanna",F,0,2
"Boring, Sebastian",M,1,5
"Hornbaek, Kasper",M,1,3
"Yoshino, Koichi",M,0,2
"Obata, Koichi",M,0,2
"Tokuhisa, Satoru",M,0,2
"Sahibzada, Hasibullah",M,1,2
"Hornecker, Eva",F,2,4
"Echtler, Florian",M,1,2
"Fischer, Patrick Tobias",M,1,2
"Bowey, Jason T.",M,1,1
"Shaer, Orit",F,2,1
"Westendorf, Lauren",F,2,1
"Knouf, Nicholas A.",M,3,0
"Pederson, Claudia",F,2,1
"Tekin, Burak S.",M,0,1
"Reeves, Stuart",M,0,3
"Lessel, Pascal",M,0,2
"Vielhauer, Alexander",M,0,2
"Kruger, Antonio",M,3,10
"Schwind, Valentin",M,0,5
"Knierim, Pascal",M,0,5
"Tasci, Cagri",M,0,5
"Franczak, Patrick",M,0,5
"Haas, Nico",M,0,5
"Henze, Niels",M,1,9
"Beheshti, Elham",F,1,2
"Kim, David",M,2,1
"Ecanow, Gabrielle",F,1,2
"Horn, Michael S.",M,2,1
"Snow, Stephen",M,1,1
"Auffenberg, Frederik",M,1,1
"Schraefel, M. C.",F,0,2
"Hsu, Yen-Chia",M,2,3
"Dille, Paul",M,2,3
"Cross, Jennifer",F,1,4
"Dias, Beatrice",F,1,4
"Sargent, Randy",M,2,3
"Nourbakhsh, Illah",M,2,3
"Bagroy, Shrey",M,1,1
"Kumaraguru, Ponnurangam",M,NA,NA
"Gui, Xinning",F,3,3
"Chen, Yu",M,3,2
"Caldeira, Clara",F,2,2
"Xiao, Dan",M,3,1
"Macleod, Haley",F,10,2
"Bastin, Grace",F,4,0
"Liu, Leslie S.",F,4,0
"Siek, Katie",F,4,0
"Connelly, Kay",F,8,1
"Chung, Chia-Fang",F,5,3
"Agapie, Elena",F,7,4
"Schroeder, Jessica",F,8,7
"Mishra, Sonali",F,3,2
"Munson, Sean A.",M,8,5
"Manuel, Jennifer",F,3,6
"Vigar, Geoff",M,1,2
"Zhou, Huiyuan",NA,2,1
"Edrah, Aisha",F,NA,NA
"Mackay, Bonnie",F,NA,NA
"Reilly, Derek",M,NA,NA
"Smith, Nancy",F,1,1
"Bardzell, Shaowen",F,2,1
"Bardzell, Jeffrey",M,3,0
"Schwanda, Victoria",F,1,1
"Ballard, Sosik Kacey",F,1,1
"Ranasinghe, Nimesha",M,NA,NA
"Jain, Pravar",M,2,2
"Karwita, Shienny",F,1,3
"Tolley, David",M,NA,NA
"Do, Ellen Yi-Luen",F,NA,NA
"Wilson, Graham",M,1,5
"Brewster, Stephen A.",M,0,4
"Mauriello, Matthew Louis",M,4,2
"Saha, Manaswi",M,1,2
"Brown, Erica Brown",F,0,3
"Ma, Xiao",F,2,1
"Barkhuus, Louise",F,4,1
"Naaman, Mor",M,5,5
"Whiting, Emily",F,NA,NA
"Ouf, Nada",F,NA,NA
"Makatura, Liane",F,NA,NA
"Mousas, Christos",M,NA,NA
"Shu, Zhenyu",NA,3,2
"Kavan, Ladislav",M,NA,NA
"Fan, Min",F,3,1
"Antle, Alissa N.",F,6,3
"Hoskyn, Maureen",F,3,1
"Cramer, Emily S.",F,3,1
"Fraser, C. Ailie",F,0,2
"Grossman, Tovi",M,2,8
"Besancon, Lonni",NA,0,3
"Ammi, Mehdi",M,NA,NA
"Isenberg, Tobias",M,NA,NA
"Girotto, Victor",M,1,1
"Walker, Erin",F,NA,NA
"Burleson, Winslow",M,NA,NA
"Vashistha, Aditya",M,1,1
"Sethi, Pooja",F,0,2
"Anderson, Richard",M,1,1
"Bigham, Jeffrey P.",M,10,8
"Brewer, Robin",M,3,3
"Bragg, Jonathan",M,3,3
"Kulkarni, Anand",M,3,3
"Li, Jessie",F,2,4
"Savage, Saiph",F,2,4
"Gebru, Timnit",F,1,2
"Krause, Jonathan",M,2,1
"Deng, Jia",M,2,9
"Fei-Fei, Li",F,6,13
"Huber, Bernd",M,1,1
"Gajos, Krzysztof Z.",M,4,1
"Krupka, Eyal",M,0,10
"Karmon, Kfir",M,0,10
"Bloom, Noam",M,0,10
"Freedman, Daniel",M,0,10
"Gurvich, Ilya",M,0,10
"Hurvitz, Aviv",M,0,10
"Leichter, Ido",M,0,10
"Smolin, Yoni",M,0,10
"Tzairi, Yuval",M,0,10
"Vinnikov, Alon",M,0,10
"Bar-Hillel, Aharon",M,0,10
"Zagermann, Johannes",M,1,3
"Pfeil, Ulrike",F,0,4
"Fink, Daniel",M,1,3
"Bauer, Philipp Von",M,1,3
"Reiterer, Harald",M,1,9
"Matthies, Denys J. C.",M,0,2
"Strecker, Bernhard A.",M,0,2
"Urban, Bodo",M,0,2
"Mcintosh, Jess",F,1,2
"Marzo, Asier",M,2,1
"Fraser, Mike",M,2,1
"Phillips, Carol",F,1,2
"Ford, Colin M.",M,0,0
"Jia, Yuan",F,1,2
"Liu, Yikun",F,1,2
"Yu, Xing",M,2,1
"Voida, Stephen",M,2,1
"Qian, Kun",M,1,4
"Wu, Chenshu",M,1,4
"Zhou, Zimu",M,1,4
"Zheng, Yue",F,0,5
"Yang, Zheng",M,1,4
"Liu, Yunhao",M,1,4
"Kasunic, Anna",F,0,1
"Kaufman, Geoff",M,1,0
"Wuertz, Jason",M,0,2
"Tang, Anthony",M,0,3
"Windlin, Charles",M,0,1
"Laaksolahti, Jarmo",M,0,1
"Harnett, C. K.",F,0,0
"Clegg, Tamara",F,6,5
"Norooz, Leyla",F,9,5
"Kang, Seokbin",M,7,4
"Byrne, Virginia",F,6,5
"Katzen, Monica",F,6,5
"Valez, Rafael",M,7,4
"Plane, Angelisa",F,6,5
"Oguamanam, Vanessa",F,6,5
"Yip, Jason",M,7,4
"Bonsignore, Elizabeth",F,6,5
"Froehlich, Jon",M,7,4
"Soden, Robert",M,2,0
"Sprain, Leah",F,1,1
"Palen, Leysia",F,1,1
"Musabirov, Ilya",M,0,3
"Bulygin, Denis",M,0,3
"Okopny, Paul",M,0,3
"Sirotkin, Alexander",M,0,3
"Ghosh, Sanjay",M,2,4
"Joshi, Anirudha",M,3,8
"Joshi, Manjiri",F,1,5
"Emmadi, Nagraj",M,2,4
"Dalvi, Girish",M,2,4
"Ahire, Shashank",M,3,8
"Rangale, Swati",F,1,5
"Salovaara, Antti",M,0,4
"Jacucci, Giulio",M,0,4
"Chen, Ko-Le",F,2,2
"Clarke, Rachel",F,2,2
"Almeida, Teresa",F,2,2
"Wood, Matthew",M,4,2
"Velt, Raphael",M,0,2
"Benford, Steve",M,0,8
"Yamaoka, Junichi",M,0,1
"Hsu, Chen-Yu",M,3,2
"Liu, Yuchen",F,2,3
"Kabelac, Zachary",M,3,2
"Hristov, Rumen",M,3,2
"Katabi, Dina",F,2,7
"Liu, Christine",F,2,3
"Jansen, Arne",M,1,1
"Mechelen, Maarten Van",M,1,1
"Slegers, Karin",F,0,2
"Hornof, Anthony",M,3,1
"Whitman, Haley",F,2,2
"Sutherland, Marah",F,2,2
"Gerendasy, Samuel",M,3,1
"Mcgrenere, Joanna",F,4,6
"Lazar, Amanda",F,2,1
"Edasis, Caroline",F,2,0
"Garbett, Andrew",M,6,9
"Wright, Peter",M,5,11
"Jenkins, Edward Ian",M,2,3
"Brittain, Katie",F,1,4
"Matthews, Tara",F,NA,NA
"O'leary, Kathleen",NA,7,1
"Turner, Anna",F,NA,NA
"Sleeper, Manya",F,NA,NA
"Woelfer, Jill Palzkill",F,NA,NA
"Shelton, Martin",M,NA,NA
"Manthorne, Cori",F,NA,NA
"Churchill, Elizabeth F.",F,NA,NA
"Consolvo, Sunny",F,NA,NA
"Sawaya, Yukiko",F,NA,NA
"Sharif, Mahmood",M,NA,NA
"Christin, Nicolas",M,NA,NA
"Kubota, Ayumu",NA,1,4
"Nakarai, Akihiro",M,NA,NA
"Yamada, Akira",M,NA,NA
"Vance, Anthony",M,1,3
"Kirwan, Brock",M,1,3
"Bjorn, Daniel",M,1,3
"Jenkins, Jeffrey",M,1,3
"Anderson, Bonnie Brinton",F,0,4
"Wash, Rick",M,1,1
"Rader, Emilee",F,0,2
"Fennell, Chris",M,1,1
"Singh, Vivek K.",M,2,1
"Jain, Arushi",F,0,1
"Hassib, Mariam",F,0,9
"Buschek, Daniel",M,1,2
"Wozniak, Pawelw W.",M,1,2
"Alt, Florian",M,3,12
"Feltwell, Tom",M,2,8
"Wood, Gavin",M,2,8
"Brooker, Phillip",M,2,8
"Schofield, Tom",M,4,12
"Petridis, Ioannis",M,1,7
"Dowell, John",M,0,1
"Anstead, Edward",M,0,1
"Gorkovenko, Katerina",F,0,2
"Taylor, Nick",M,1,1
"Rogers, Jon",M,1,1
"Balestrini, Mara",F,3,2
"Rogers, Yvonne",F,6,2
"Hassan, Carolyn",F,3,2
"Creus, Javi",M,4,1
"King, Martha",F,3,2
"Marshall, Paul",M,6,2
"Asad, Mariam",F,2,1
"Dantec, Christopher A. Le",M,3,0
"Nielsen, Becky",F,2,1
"Diedrick, Kate",F,2,1
"Erete, Sheena",F,1,0
"Burrell, Jennifer O.",F,1,0
"Johnson, Ian G.",M,4,2
"Macdonald, Alistair",M,4,2
"Salt, Karen",F,3,3
"Flynn, Emma",F,3,3
"Chang, Joseph Chee",M,2,0
"Amershi, Saleema",F,1,1
"Barowy, Daniel W.",M,0,3
"Berger, Emery D.",M,0,3
"Goldstein, Daniel G.",M,0,3
"Suri, Siddharth",M,0,3
"Curmi, Franco",M,1,1
"Ferrario, Maria Angela",F,0,2
"Whittle, Jon",M,1,1
"Fritz, Nicole",F,1,0
"Dey, Sanorita",F,1,1
"Karahalios, Karrie",F,2,3
"Fu, Wai-Tat",M,NA,NA
"Cranshaw, Justin",M,NA,NA
"Elwany, Emad",M,NA,NA
"Newman, Todd",M,NA,NA
"Kocielnik, Rafal",M,NA,NA
"Yu, Bowen",M,NA,NA
"Soni, Sandeep",M,NA,NA
"Teevan, Jaime",M,NA,NA
"Monroy-Hernandez, Andres",NA,0,7
"Miller, Matthew K.",M,4,4
"Venolia, Gina",F,1,3
"Wilkinson, Gerard",M,2,2
"Inkpen, Kori",F,1,3
"Fong, Allan",M,0,2
"Hettinger, A. Zachary",M,0,2
"Ratwani, Raj M.",M,0,2
"Xiao, Xiang",M,0,1
"Wang, Jingtao",M,0,3
"Jung, Jingun",M,1,1
"Youn, Eunhye",F,0,2
"Lee, Geehyuk",M,1,1
"Martinez, Patricia Ivette Cornelio",F,1,2
"Pirro, Silvana De",F,1,2
"Vi, Chi Thanh",M,2,1
"Subramanian, Sriram",M,3,11
"Maimani, Ahmed Al",M,1,0
"Roudaut, Anne",F,1,5
"Ozgur, Ayberk",M,1,2
"Johal, Wafa",F,0,3
"Mondada, Francesco",M,1,7
"Dillenbourg, Pierre",M,1,2
"Delden, Robby Van",M,0,4
"Moreno, Alejandro",M,0,4
"Poppe, Ronald",M,0,4
"Reidsma, Dennis",M,0,4
"Heylen, Dirk",M,0,4
"Mueller, Florian 'Floyd'",M,2,3
"Young, Damon",M,0,1
"Park, Hyung Kun",M,NA,NA
"Yi, Hyeonbeom",M,NA,NA
"Lee, Woohun",NA,0,2
"Paavilainen, Janne",M,2,3
"Korhonen, Hannu",M,2,3
"Alha, Kati",F,1,4
"Stenros, Jaakko",M,2,3
"Koskinen, Elina",F,1,4
"Mayra, Frans",M,2,3
"Britton, Lauren M.",F,0,1
"Semaan, Bryan",M,1,3
"Hou, Youyang",F,NA,NA
"Lampe, Cliff",M,NA,NA
"Bulinski, Maximilian",M,NA,NA
"Prescott, J.j.",NA,1,2
"Oh, Changhoon",M,3,2
"Lee, Taeyoung",M,3,2
"Kim, Yoojung",F,7,5
"Park, Sohyun",F,2,3
"Kwon, Sae Bom",F,2,3
"Suh, Bongwon",M,3,2
"Lin, Yen-Chen",F,NA,NA
"Chang, Yung-Ju",M,NA,NA
"Hu, Hou-Ning",M,NA,NA
"Cheng, Hsien-Tzu",M,NA,NA
"Huang, Chi-Wen",NA,1,4
"Huang, Michael Xuelin",M,2,1
"Li, Jiajia",F,1,2
"Ngai, Grace",F,1,2
"Leong, Hong Va",M,2,1
"Mott, Martez E.",M,1,2
"Andrist, Sean",M,0,2
"Gleicher, Michael",M,0,2
"Ledo, David",M,1,4
"Anderson, Fraser",M,1,8
"Schmidt, Ryan",M,1,4
"Greenberg, Saul",M,1,4
"Santini, Thiago",M,1,1
"Fuhl, Wolfgang",M,1,1
"Kasneci, Enkelejda",F,0,2
"Seufert, Anna",F,1,11
"Chen, Hsiang-Ting",F,1,11
"Meinel, Florian",M,2,10
"Muller, Willi",M,2,10
"Brehm, Maximilian",M,2,10
"Striebel, Jonathan",M,2,10
"Kommana, Yannis",M,2,10
"Popiak, Alexander",M,2,10
"Blasius, Thomas",M,2,10
"Vogl, Anita",F,1,4
"Parzer, Patrick",M,2,3
"Babic, Teo",M,2,3
"Leong, Joanne",F,1,4
"Haller, Michael",M,2,3
"Kim, Younghoon",M,1,2
"Wongsuphasawat, Kanit",M,3,7
"Zadow, Ulrich Von",M,0,1
"Dachselt, Raimund",M,0,2
"Qu, Zening",F,1,7
"Moritz, Dominik",M,2,9
"Chang, Riley",M,2,6
"Ouk, Felix",M,2,6
"Anand, Anushka",F,1,7
"Mackinlay, Jock",M,2,6
"Howe, Bill",M,2,10
"Jo, Jaemin",M,NA,NA
"L'yi, Sehi",NA,1,2
"Seo, Jinwook",M,NA,NA
"Niksirat, Kavous Salehzadeh",M,1,3
"Silpasuwanchai, Chaklam",M,1,7
"Ahmed, Mahmoud Mohamed Hussien",M,1,3
"Cheng, Peng",M,3,8
"Ren, Xiangshi",F,0,10
"Zhu, Bin",M,0,2
"Hedman, Anders",M,0,2
"Li, Haibo",M,0,2
"Slovak, Petr",M,1,1
"Frauenberger, Christopher",M,5,1
"Fitzpatrick, Geraldine",F,2,2
"Barry, Marguerite",F,1,4
"Doherty, Kevin",M,2,3
"Belisario, Jose Marcano",M,2,3
"Car, Josip",M,2,3
"Morrison, Cecily",F,1,4
"Doherty, Gavin",M,2,3
"Dillahunt, Tawanna R.",F,1,2
"Kameswaran, Vaishnav",M,NA,NA
"Li, Linfeng",M,2,1
"Rosenblat, Tanya",F,1,2
"Derenzi, Brian",M,3,3
"Wacksman, Jeremy",M,1,3
"Lee, Scott",M,1,3
"Lesh, Neal",M,1,3
"Lazem, Shaimaa",F,0,1
"Jad, Hussein Aly",M,1,0
"Sorcar, Piya",F,2,2
"Strauber, Benjamin",M,3,1
"Loyalka, Prashant",M,3,1
"Goldman, Shelley",F,2,2
"Fridman, Lex",M,2,5
"Toyoda, Heishiro",M,2,5
"Seaman, Sean",M,2,5
"Seppelt, Bobbie",F,1,6
"Angell, Linda",F,1,6
"Lee, Joonbum",M,2,5
"Mehler, Bruce",M,2,5
"Reimer, Bryan",M,2,5
"Wang, Minjuan",F,NA,NA
"Lyckvi, Sus Lundgren",F,NA,NA
"Chen, Chenhui",NA,3,1
"Dahlstedt, Palle",M,NA,NA
"Chen, Fang",F,NA,NA
"Steinberger, Fabius",M,0,3
"Schroeter, Ronald",M,0,3
"Foth, Marcus",M,0,3
"Johnson, Daniel",M,0,3
"Mok, Brian",M,1,2
"Miller, David",M,1,2
"Ng, Alexander",M,0,5
"Beruscha, Frank",M,0,3
"Krautter, Wolfgang",M,0,3
"Spiel, Katharina",F,4,3
"Boyd, Louanne E.",F,4,3
"Jiang, Xinlong",M,2,0
"Hayes, Gillian R.",F,7,4
"Zhang, Xiaoyi",M,3,3
"Fiannaca, Alexander",M,3,3
"Campbell, Jon",M,3,3
"Cutrell, Ed",M,3,3
"Fisher, Danyel",M,0,3
"Ding, Bolin",M,0,5
"Wang, Chi",M,0,7
"Du, Fan",M,3,4
"Cao, Nan",M,2,6
"Lin, Yu-Ru",F,1,3
"Xu, Panpan",F,1,3
"Tong, Hanghang",M,NA,NA
"Kralj, Christoph",M,0,2
"Kamalzadeh, Mohsen",M,0,2
"Moller, Torsten",M,0,2
"Zhang, Jiawei",M,2,16
"Malik, Abish",M,0,5
"Ahlbrand, Benjamin",M,0,5
"Elmqvist, Niklas",M,0,9
"Maciejewski, Ross",M,0,5
"Ebert, David S.",M,0,5
"Feinberg, Melanie",F,0,0
"Pschetz, Larissa",F,1,2
"Tallyn, Ella",F,1,2
"Gianni, Rory",M,2,1
"Speed, Chris",M,3,1
"Krafft, Peter",M,4,0
"Zhou, Kaitlyn",F,3,1
"Edwards, Isabelle",F,3,1
"Starbird, Kate",F,3,1
"Spiro, Emma S.",F,3,1
"Lee, Kyung-Ryong",M,0,2
"Goh, Geon-Il",M,0,2
"Park, Young-Woo",M,0,2
"Yarosh, Lana",F,1,0
"Zave, Pamela",F,1,0
"Karolus, Jakob",M,0,3
"Wozniak, Pawel W.",M,0,3
"Chuang, Lewis L.",M,0,3
"Ding, Yu",M,1,2
"Zhang, Yuting",M,1,2
"Xiao, Meihua",F,0,3
"Deng, Zhigang",M,1,2
"Istance, Howell",M,1,0
"Hyrskykari, Aulikki I.",F,0,1
"Schenk, Simon",M,0,3
"Dreiser, Marc",M,0,3
"Rigoll, Gerhard",M,0,3
"Dorr, Michael",M,0,3
"Smith, Wally",M,2,6
"Ploderer, Bernd",M,NA,NA
"Wadley, Greg",M,1,3
"Webber, Sarah",F,1,7
"Borland, Ron",M,1,3
"Vilardaga, Roger",M,5,5
"Klasnja, Predrag",M,2,2
"Hekler, Eric B.",M,NA,NA
"Korinek, Elizabeth V.",F,1,3
"Harlow, John",M,2,2
"Sato, Yuka",F,1,0
"Ueoka, Ryoko",F,1,0
"Weigel, Martin",M,0,3
"Nittala, Aditya Shekhar",M,0,3
"Je, Seungwoo",M,0,3
"Rooney, Brendan",M,0,3
"Chan, Liwei",M,1,6
"Bianchi, Andrea",M,0,3
"Schorr, Samuel B.",M,1,0
"Okamura, Allison M.",F,2,2
"Strasnick, Evan",M,2,4
"Cauchard, Jessica R.",F,2,2
"Landay, James A.",M,3,1
"Vlachokyriakos, Vasillis",M,3,8
"Crivellaro, Clara",F,2,9
"Wright, Pete",M,3,8
"Karamagioli, Evika",F,2,9
"Staiou, Eleni-Revekka",F,2,9
"Gouscos, Dimitris",M,3,8
"Thorpe, Rowan",M,3,8
"Jones, Matt",M,4,13
"Aoki, Paul",M,1,2
"Woodruff, Allison",F,0,3
"Yellapragada, Baladitya",M,1,2
"Chauhan, Apoorva",F,1,0
"Hughes, Amanda L.",F,1,0
"Devito, Michael A.",M,0,2
"Gergle, Darren",M,0,4
"Birnholtz, Jeremy",M,0,2
"Chandrasekharan, Eshwar",M,4,4
"Samory, Mattia",M,0,4
"Srinivasan, Anirudh",M,0,3
"Gilbert, Eric",M,0,3
"Adar, Eytan",M,3,0
"Gearig, Carolyn",F,2,1
"Balasubramanian, Ayshwarya",F,2,1
"Jahanbakhsh, Farnaz",F,1,3
"Marinov, Darko",M,2,2
"Bailey, Brian",M,2,2
"Chancellor, Stevie",F,2,2
"Kalantidis, Yannis",M,3,6
"Pater, Jessica A.",F,2,2
"Shamma, David A.",M,3,1
"Xia, Haijun",M,NA,NA
"Hinckley, Ken",M,NA,NA
"Pahud, Michel",M,NA,NA
"Tu, Xiao",NA,0,4
"Buxton, Bill",M,NA,NA
"Riche, Yann",M,4,1
"Riche, Nathalie Henry",F,5,4
"Panabaker, Sheri",F,3,2
"Fuelling, Sarah",F,3,2
"Williams, Sarah",F,3,2
"Pfeuffer, Ken",M,0,3
"Surale, Hemant Bhaskar",M,0,2
"Matulic, Fabrice",M,0,2
"Vogel, Daniel",M,NA,NA
"Antoine, Axel",M,NA,NA
"Malacria, Sylvain",M,NA,NA
"Casiez, Gery",NA,NA,NA
"Grosse-Puppendahl, Tobias",M,0,7
"Holz, Christian",M,0,11
"Cohn, Gabe",M,0,7
"Wimmer, Raphael",M,0,7
"Bechtold, Oskar",M,0,7
"Hodges, Steve",M,4,7
"Reynolds, Matthew S.",M,0,7
"Smith, Joshua R.",M,0,7
"Nishida, Jun",M,0,1
"Suzuki, Kenji",M,0,1
"Jang, Sujin",M,0,3
"Ambike, Satyajit",M,0,3
"Karusala, Naveena",F,1,0
"Strohmayer, Angelika",F,1,1
"Laing, Mary",F,1,1
"Lee, Min Kyung",F,NA,NA
"Kim, Ji Tae",NA,2,0
"Lizarondo, Leah",F,NA,NA
"Rho, Eugenia Ha Rim",F,3,1
"Mazmanian, Melissa",F,5,2
"Waern, Annika",F,0,1
"Back, Jon",M,1,0
"Faste, Haakon",M,0,0
"Williamson, Julie R.",F,0,1
"Williamson, John",M,1,0
"Makela, Ville",M,1,3
"Sharma, Sumita",F,0,4
"Hakulinen, Jaakko",M,7,8
"Heimonen, Tomi",M,7,8
"Turunen, Markku",M,7,8
"Candello, Heloisa",F,0,2
"Pinhanez, Claudio",M,1,1
"Figueiredo, Flavio",M,1,1
"Kirman, Ben",M,2,5
"Komatsu, Takanori",M,0,4
"Kobayashi, Kazuki",M,0,4
"Yamada, Seiji",M,0,4
"Funakoshi, Kotaro",M,0,4
"Nakano, Mikio",M,0,4
"Xu, Anbang",M,3,1
"Liu, Zhe",M,5,2
"Guo, Yufan",F,2,2
"Sinha, Vibha",F,2,2
"Akkiraju, Rama",F,2,2
"Gurari, Danna",F,1,0
"Grauman, Kristen",F,NA,NA
"Valentine, Melissa A.",F,4,1
"Retelny, Daniela",F,4,1
"To, Alexandra",F,4,1
"Rahmati, Negar",F,4,1
"Doshi, Tulsee",F,4,1
"Bernstein, Michael S.",M,6,1
"Park, Sangkeun",M,2,3
"Ilincai, Emilia-Stefania",F,1,4
"Oh, Jeungmin",M,2,3
"Kwon, Sujin",M,2,3
"Mizouni, Rabeb",F,1,4
"Lee, Uichin",M,2,5
"Chen, Chen",M,0,10
"Meng, Xiaojun",M,0,3
"Zhao, Shengdong",M,2,11
"Fjeld, Morten",M,0,3
"Cecchinato, Marta E.",F,1,1
"Cox, Anna L.",F,2,3
"Visuri, Aku",M,1,5
"Sarsenbayeva, Zhanna",F,0,6
"Berkel, Niels Van",M,1,5
"Goncalves, Jorge",M,1,8
"Rawassizadeh, Reza",M,1,5
"Kostakos, Vassilis",M,1,8
"Ferreira, Denzil",M,1,5
"Mcmillan, Donald",M,4,1
"Lampinen, Airi",F,3,2
"Mcgregor, Moira",F,3,2
"Hoggan, Eve",F,3,2
"Pizza, Stefania",F,3,2
"Cambo, Scott A.",M,0,2
"Avrahami, Daniel",M,0,2
"Lee, Matthew L.",M,0,2
"Harmon, Ellie",F,1,1
"Tolmie, Peter",M,2,5
"Procter, Rob",M,2,5
"Randall, David William",M,2,5
"Rouncefield, Mark",M,2,5
"Burger, Christian",M,2,5
"Hoi, Geraldine Wong Sak",F,1,6
"Zubiaga, Arkaitz",M,2,5
"Liakata, Maria",F,1,6
"Boukhelifa, Nadia",F,0,3
"Perrin, Marc-Emmanuel",M,1,2
"Huron, Samuel",M,1,2
"Eagan, James",M,1,2
"Peek, Nadya",F,NA,NA
"Coleman, James",M,NA,NA
"Moyer, Ilan",NA,1,2
"Gershenfeld, Neil",M,NA,NA
"Sareen, Harpreet",M,1,5
"Umapathi, Udayan",M,1,5
"Shin, Patrick",M,1,5
"Ou, Jifei",M,1,5
"Bucci, Paul",M,4,4
"Cang, Xi Laura",F,3,5
"Valair, Anasazi",M,4,4
"Marino, David",M,4,4
"Tseng, Lucia",F,3,5
"Jung, Merel",F,3,5
"Rantala, Jussi",M,4,4
"Schneider, Oliver S.",M,4,4
"Maclean, Karon E.",F,3,5
"Yue, Ya-Ting",F,0,5
"Zhang, Xiaolong",M,1,4
"Yang, Yongliang",M,1,4
"Ren, Gang",M,1,4
"Choi, Yi-King",M,1,4
"Wang, Wenping",M,5,13
"Spelmezan, Daniel",M,0,2
"Sahoo, Deepak Ranjan",M,0,2
"Ofek, Eyal",M,0,4
"Benko, Hrvoje",M,0,5
"Wilson, Andrew D.",M,0,5
"Kaul, Oliver Beren",M,0,1
"Rohs, Michael",M,1,7
"Gonzalez, Rafael Morales",M,1,2
"Appert, Caroline",F,0,3
"Pietriga, Emmanuel",M,1,2
"Wang, Qinglong",M,1,1
"Sun, Xiaoying",M,1,1
"Abdelrahman, Yomna",F,0,3
"Khamis, Mohamed",M,2,4
"Schneegass, Stefan",M,2,7
"Das, Sauvik",M,0,3
"Hong, Jason I.",M,0,3
"Ur, Blase",M,5,9
"Alfieri, Felicia",F,4,7
"Aung, Maung",M,5,6
"Bauer, Lujo",M,5,9
"Colnago, Jessica",F,4,7
