regex,sector,country
"puc\.(cl)","edu","$1"
"unam\.(mx)","edu","$1"
"unibuc\.(ro)","edu","$1"
"pub\.(ro)","edu","$1"
"infoiasi\.(ro)","edu","$1"
"umac\.(mo)","edu","$1"
"\W[p]?u\w*\.(br)","edu","$1"
"saocamilo-sp\.(br)","edu","$1"
"furg\.(br)","edu","$1"
"msu\.(ru)","edu","$1"
"\W\w+u.*\.(at)","edu","$1"
"forsyte\.(at)","edu","$1"
"scch\.(at)","edu","$1"
"tudos\.org","edu","de"
"l3s\.(de)","edu","$1"
"hpi\.(de)","edu","$1"
"tu-.*\.(de)","edu","$1"
"uni-.*\.(de)","edu","$1"
"se-rwth\.(de)","edu","$1"
"embl\.(de)","edu","$1"
"gwdg\.(de)","edu","$1"
"cased\.(de)","edu","$1"
"fau\.(de)","edu","$1"
"rub\.(de)","edu","$1"
"wwu\.(de)","edu","$1"
"tum\.(de)","edu","$1"
"upb\.(de)","edu","$1"
"lmu\.(de)","edu","$1"
".u-berlin\.(de)","edu","$1"
"university\.(de)","edu","$1"
"compeng\.(de)","edu","$1"
"binaervarianz\.(de)","edu","$1"
"leuphana\.(de)","edu","$1"
"rwth-aachen\.(de)","edu","$1"
"llbit\.(se)","edu","$1"
"lingvi\.st","edu","se"
"wouter-web\.(nl)","edu","$1"
"luckie.org\.(nz)","edu","$1"
"sigkill\.(dk)","edu","$1"
"lenkmail\.(de)","com","$1"
"dontknow\.(de)","edu","$1"
"tomgross\.net","edu","de"
"drbecker\.org","edu","de"
"ruichuan\.org","edu","de"
"szeider\.net","edu","de"
"flosch\.eu","com","de"
"bjorling\.me","com","dk"
"groestl\.info","edu","dk"
"maennel\.net","edu","ee"
"thorsten.*\.net","edu","se"
"tratt\.net","edu","uk"
"gervais\.cc","edu","uk"
"bpiwowar\.(net)","edu","fr"
"legout\.info","com","fr"
"strub\.nu","edu","fr"
"a3nm\.net","edu","fr"
"tbrk\.org","edu","fr"
"chierichetti.name","edu","it"
"jovanovic\.io","edu","ch"
"larusstone\.org","edu","ch"
"mulix\.org","com","il"
"yom-tov\.info","com","il"
"moscito\.org","edu","tw"
"tagsys\.org","edu","hk"
"mblondel\.org","com","jp"
"kamishima\.net","edu","jp"
"rmarcus\.info","edu","us"
"dbpmail\.net","edu","us"
"nebelwelt\.net","edu","us"
"arnab\.org","edu","us"
"cunninghamfamily.name","edu","us"
"sebastianzimmeck\.de","edu","us"
"teuscher\.ch","edu","us"
"eliassi\.org","edu","us"
"yesco\.org","com","us"
"banerjee\.net","com","us"
"richardmurphy\.net","com","us"
"schlesinger\.tech","com","us"
"deng\.email","com","us"
"clause\.io","com","us"
"ratul\.org","com","us"
"mdw\.la","com","us"
"nellans\.org","com","us"
"masoud\.io","com","us"
"one-eyed-alien\.(net)","com","us"
"waldspurger\.org","com","us"
"byu\.net","com","us"
"kunz\.xyz","","us"
"geobabble\.org","gov","us"
"lifflander\.org","gov","us"
"wdwrd\.net","gov","us"
"vinju\.org","gov","nl"
"([\w][\w]).ibm.com","com","$1"
"neclab\.eu","com","de"
"fdmediagroep\.(nl)","com","$1"
"webbtraders\.nl","com",""
"edf\.fr","com",""
"paratools\.fr","com",""
"meraki\.net","com",""
"bloomberg\.net","com",""
"skyscanner\.net","com",""
