conference,is_org_ACM,is_org_IEEE,is_org_USENIX,field,subfield,url,country,postdate,month_of_year,months_since_published,deadline_day_of_week,review_days,mean_pages,submissions,min_reviews,total_reviews,double_blind,rebuttal,open_access,diversity_effort,age,past_papers,mean_historical_length,past_citations,mean_historical_citations,h5_index,h5_median,chairs_num,pc_size,pc_author_ratio,npapers,authors_num,mean_authors_per_paper,acceptance_rate,pc_paper_ratio,full_name
CLOUD_17,False,True,False,Systems,Cloud Computing,http://www.thecloudcomputing.org/2017/,US,2017-06-25,6,60,MON,63,8.17,110,3,453,False,False,False,False,10,926,92.6,4577,4.943,43,60,1,129,1.173,29,110,3.793,0.264,0.31,International Conference on Cloud Computing
HPDC_17,True,False,False,Systems,High-Performance Computing,http://www.hpdc.org/2017/,US,2017-06-28,6,60,TUE,71,12.21,100,3,350,False,False,False,False,25,1314,52.56,9372,7.132,29,44,2,46,0.632,19,76,4.0,0.19,0.368,International Symposium on High Performance Parallel and Distributed Computing
HotCloud_17,False,False,True,Systems,Cloud Computing,https://www.usenix.org/conference/hotcloud17,US,2017-07-10,7,59,TUE,35,7,58,3,174,False,False,True,True,9,157,17.444,,,25,36,2,24,0.406,19,64,3.368,0.328,0.105,Workshop in Hot Topics in Cloud Computing
HotStorage_17,False,False,True,Systems,Storage,https://www.usenix.org/conference/hotstorage17,US,2017-07-10,7,59,THU,35,6.29,58,3,188,False,False,True,True,9,126,14.0,,,,,2,21,0.245,21,94,4.476,0.362,0.19,Workshop on Hot Topics in Storage and File Systems
ATC_17,False,False,True,Systems,Operating Systems,https://www.usenix.org/conference/atc17,US,2017-07-12,7,59,TUE,73,13.52,277,2,920,False,False,True,True,25,796,31.84,,,36,65,2,33,0.125,60,279,4.65,0.217,0.183,Annual Technical Conference
SPAA_17,True,False,False,Systems,Concurrency,http://spaa.acm.org/2017/index.html,US,2017-07-24,7,59,THU,73,10,127,4,546,False,True,False,False,29,1172,40.414,10826,9.237,21,30,1,40,0.476,31,84,2.71,0.244,0.194,Symposium on Parallelism in Algoirmths and Architectures
PODC_17,True,False,False,Systems,Concurrency,https://www.podc.org/podc2017/,US,2017-07-25,7,59,WED,70,9.76,154,3,500,False,False,False,False,35,1746,49.886,20260,11.604,25,31,1,38,0.386,38,101,2.658,0.247,0.158,Symposium on Principles of Distributed Computing
ICPP_17,False,True,False,Systems,Concurrency,http://www.icpp-conf.org/2017/index.php,UK,2017-08-14,8,58,WED,54,9.92,210,3,794,False,False,False,False,46,,,,,20,34,10,136,0.624,60,234,3.9,0.286,0.15,International Conference on Parallel Processing
SIGCOMM_17,True,False,False,Systems,Network,http://conferences.sigcomm.org/sigcomm/2017/,US,2017-08-21,8,58,FRI,98,13.92,250,3,1150,True,False,True,True,40,3468,86.7,67997,19.607,46,65,2,50,0.241,36,216,6.0,0.144,0.417,SIGCOMM Conference
EuroPar_17,False,False,False,Systems,Concurrency,http://europar2017.usc.es/,ES,2017-08-30,8,58,THU,69,13.52,176,3,691,False,False,False,False,23,,,,,24,33,4,86,0.503,50,179,3.58,0.284,0.16,International European Conference on Parallel and Distributed Computing
Cluster_17,False,True,False,Systems,High-Performance Computing,https://cluster17.github.io/,US,2017-09-05,9,58,MON,46,9.4,217,3,,False,False,False,False,18,1292,71.778,5491,4.25,21,31,2,133,0.491,65,273,4.2,0.3,0.385,Cluster
PACT_17,True,True,False,Systems,Architecture,https://parasol.tamu.edu/pact17/,US,2017-09-11,9,57,TUE,50,12.76,108,5,540,True,True,False,False,25,977,39.08,9236,9.453,33,45,1,33,0.382,25,89,3.56,0.231,0.04,International Conference on Parallel Architectures and Compilation Techniques
MASCOTS_17,False,True,False,Systems,Benchmarking,http://mascots2017.cs.ucalgary.ca/,CA,2017-09-20,9,57,TUE,59,10.95,84,3,341,False,False,False,False,25,1376,55.04,6178,4.49,19,27,2,61,0.84,20,75,3.75,0.238,0.35,"International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems"
SOCC_17,True,False,False,Systems,Cloud Computing,https://acmsocc.github.io/2017/,US,2017-09-25,9,57,FRI,74,13.36,,3,,False,False,True,False,8,173,21.625,3219,18.607,30,54,2,52,0.277,45,195,4.333,,0.133,Symposium on Cloud Computing
IISWC_17,False,True,False,Systems,Benchmarking,http://www.iiswc.org/iiswc2017/index.html,US,2017-10-02,10,57,FRI,53,8.32,83,3,301,True,False,False,False,19,361,19.0,4247,11.765,19,37,1,27,0.231,31,121,3.903,0.373,0.097,International Symposium on Workload Characterization
SP_17,False,True,False,Systems,Security,https://www.ieee-security.org/TC/SP2017/index.html,US,2017-05-22,5,61,FRI,63,18.18,419,2,1516,True,False,False,True,38,924,24.316,22501,24.352,78,109,2,62,0.223,60,287,4.783,0.143,0.233,Security and Privacy
MICRO_17,True,True,False,Systems,Architecture,https://www.microarch.org/micro50/,US,2017-10-16,10,56,TUE,58,13.52,327,3,1590,True,True,False,False,50,1523,30.46,26320,17.282,41,63,2,61,0.206,61,306,5.016,0.187,0.295,International Symposium on Microarchitecture
MobiCom_17,True,False,False,Systems,Network,https://sigmobile.org/mobicom/2017/,US,2017-10-17,10,56,THU,84,13.06,186,3,879,True,False,False,True,23,2223,96.652,41781,18.795,45,82,2,60,0.378,35,164,4.686,0.188,0.429,International Conference on Mobile Computing and Networking
IGSC_17,False,True,False,Systems,Energy,http://igsc.eecs.wsu.edu/,US,2017-10-23,10,56,FRI,31,7.39,,3,,False,False,False,False,8,,,,,17,37,1,48,0.59,23,83,3.609,,0.435,International Green and Sustainable Computing Conference
ICAC_17,False,True,False,Systems,Operating Systems,http://icac2017.ece.ohio-state.edu/,US,2017-07-18,7,59,TUE,53,10,73,3,271,False,False,False,False,14,,,,,26,38,2,63,1.37,14,46,3.286,0.192,0.571,International Conference on Autonomic Computing
CCS_17,True,False,False,Systems,Security,https://www.sigsac.org/ccs/CCS2017/,US,2017-10-31,10,56,FRI,49,15.72,836,2,,True,True,False,True,24,3024,126.0,43098,14.252,71,109,3,145,0.251,151,589,3.901,0.181,0.377,Conference on Computer and Communications Security
SOSP_17,True,False,True,Systems,Operating Systems,https://www.sigops.org/sosp/sosp17/,CN,2017-10-29,10,56,FRI,90,17.03,232,3,1131,True,True,True,False,50,1066,21.32,48971,45.939,39,93,2,56,0.258,39,217,5.564,0.168,0.385,Symposium on Operating Systems Principles
IMC_17,True,False,False,Systems,Benchmarking,http://conferences.sigcomm.org/imc/2017/,UK,2017-11-01,11,56,THU,74,14.14,179,3,775,False,False,True,True,16,630,39.375,15354,24.371,46,65,2,39,0.331,28,124,4.429,0.156,0.464,Internet Measurement Conference
SC_17,True,True,False,Systems,High-Performance Computing,http://sc17.supercomputing.org/,US,2017-11-13,11,55,MON,50,12.38,327,3,1545,True,True,False,True,29,3513,121.138,26643,7.584,47,67,2,213,0.655,61,325,5.328,0.187,0.262,"The International Conference for High Performance Computing, Networking, Storage and Analysis"
Middleware_17,True,False,True,Systems,Operating Systems,http://2017.middleware-conference.org/,US,2017-12-11,12,54,FRI,96,13,77,3,427,True,True,True,False,18,1177,65.389,7331,6.229,19,29,2,53,0.604,20,91,4.55,0.26,0.3,The Annual Middleware Conference
CoNEXT_17,True,False,False,Systems,Network,http://conferences2.sigcomm.org/co-next/2017/#!/home,KR,2017-12-13,12,54,MON,83,13,171,3,700,False,False,True,False,13,828,63.692,5162,6.234,35,73,2,48,0.345,32,145,4.531,0.187,0.125,International Conference on Emerging Networking Experiments and Technologies
HiPC_17,False,True,False,Systems,Concurrency,http://hipc.org/,IN,2017-12-18,12,54,FRI,39,10.34,184,3,579,False,True,False,False,24,604,25.167,1188,1.967,14,21,5,102,0.637,41,168,4.098,0.223,0.171,"International Conference on High Performance Computing, Data, and Analytics"
HPCC_17,False,True,False,Systems,High-Performance Computing,http://hpcl.seas.gwu.edu/hpcc2017/,TH,2017-12-18,12,54,SAT,45,7.92,176,3,,False,False,False,False,19,,,,,22,30,2,75,0.268,77,287,3.727,0.438,0.104,International Conference on High Performance Computing and Communications
ICDM_17,False,True,False,Knowledge Systems,Data Science & Mining,http://icdm2017.bigke.org/,US,2017-11-19,11,55,MON,73,10,778,3,2334,True,False,False,False,17,2228,131.059,17555,7.879,38,58,2,219,0.822,72,269,3.736,0.093,0.347,International Conference on Data Mining
KDD_17,True,False,False,Knowledge Systems,Data Science & Mining,http://www.kdd.org/kdd2017/,CA,2017-08-15,8,58,FRI,91,9.81,747,3,2986,False,False,False,True,19,3814,200.737,64359,16.874,73,112,2,364,1.544,64,237,3.703,0.086,0.469,SIGKDD Conference on Knowledge Discovery and Data Mining
SIGIR_17,True,False,False,Knowledge Systems,Information Retrieval,http://sigir.org/sigir2017/,JP,2017-08-07,8,58,TUE,77,10,362,3,1227,False,False,False,True,46,4423,96.152,75159,16.993,50,66,3,283,1.083,78,264,3.385,0.215,0.731,International Conference on Research and Development in Information Retrieval
OOPSLA_17,True,False,False,Systems,Compilers,https://2017.splashcon.org/track/splash-2017-OOPSLA,CA,2017-10-25,10,56,MON,65,27.11,223,3,696,True,False,True,True,31,3864,124.645,34696,8.979,37,51,1,30,0.134,66,232,3.515,0.296,0.061,"International Conference on Object-Oriented Programming, Systems, Languages and Applications"
PLDI_17,True,False,False,Systems,Compilers,http://pldi17.sigplan.org/home,ES,2017-06-18,6,60,TUE,90,15.06,322,3,1250,True,True,False,True,38,1308,34.421,43186,33.017,45,69,1,56,0.329,47,173,3.681,0.146,0.298,SIGPLAN Conference on Programming Language Design and Implementation
SLE_17,True,False,False,Systems,Compilers,http://www.sleconf.org/2017/,CA,2017-10-23,10,56,FRI,49,11.17,57,3,171,False,True,False,True,10,,,,,19,28,2,28,0.441,24,68,2.833,0.421,0.208,International Conference on Software Language Engineering
HotI_17,False,True,False,Systems,Network,http://www.hoti.org/hoti25/archives/,US,2017-08-28,8,58,FRI,35,7.84,39,3,,False,False,False,False,25,,,,,,,2,23,0.568,13,44,3.385,0.333,0.231,Annual Symposium on High-Performance Interconnects
