name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Bono, Viviana",@di.unito.it,F,IT,EDU,79,19,10,28,10,1230,
"Bonomi, Silvia",@dis.uniroma1.it,F,IT,EDU,54,9,7,9,5,258,
"Bonzini, Paolo",@gnu.org,M,,,16,8,6,7,5,296,
"Boos, Kevin",@rice.edu,M,US,EDU,12,4,4,2,2,57,11
"Borase, Amit",,M,,,,,,,,,1
"Borba, Paulo",@cin.ufpe.br,M,BR,EDU,256,30,22,89,43,3830,160
"Borchers, Al",,M,,,,,,,,,11
"Bordawekar, Rajesh",@us.ibm.com,M,US,COM,132,30,17,56,25,3285,
"Border, Charles",,M,,,,,,,,,
"Borgo, Rita",@swansea.ac.uk,F,UK,EDU,63,14,12,17,13,690,
"Borgwardt, Karsten",@bsse.ethz.ch,M,CH,EDU,114,40,37,67,62,8809,108
"Borisov, Nikita",@illinois.edu,M,US,EDU,147,36,30,73,61,6104,
"Borland, Sarah",,F,US,EDU,,,,,,,1
"Bornholt, James",@cs.washington.edu,M,US,EDU,19,6,6,4,4,162,24
"Boronat, Artur",,M,,,,,,,,,49
"Boroujeni, Ashkan Forouhi",,M,US,EDU,,,,,,,1
"Boroumand, Amirali",@cmu.edu,M,US,EDU,12,5,5,4,4,134,13
"Borst, Sem",@tue.nl,M,,COM,309,38,21,115,62,5877,155
"Borth, Damian",,M,,,,,,,,,
"Borthakur, Dhruba",,M,,COM,,,,,,,56
"Bortnikov, Edward",@yahoo-inc.com,M,,COM,41,8,7,5,5,339,38
"Bos, Herbert",@cs.vu.nl,M,NL,EDU,238,30,27,65,43,7652,245
"Bosch, Jaume",,M,ES,GOV,,,,,,,149
"Bose, Pradip",,M,,,,,,,,,
"Bosilca, George",@icl.utk.edu,M,US,EDU,177,28,24,58,46,4373,132
"Bosman, Erik",@few.vu.nl,M,NL,EDU,5,4,4,3,3,139,6
"Bosque, José Luis",@unican.es,M,ES,EDU,86,13,8,19,7,508,73
"Bosschere, Koen De",@elis.ugent.be,M,BE,EDU,371,38,23,110,57,5209,261
"Bost, Raphael",,M,US,EDU,,,,,,,10
"Botelho, Fabiano",@emc.com,M,,COM,45,9,8,9,7,406,21
"Botta, Marco",,M,,,,,,,,,
"Bou-Harb, Elias",@fau.edu,M,US,EDU,47,10,10,10,10,315,33
"Bouajjani, Ahmed",@irif.fr,M,FR,EDU,184,42,25,95,70,6442,
"Boucher, Paul",,M,,COM,,,,,,,20
"Boudjadar, Jalil",@eng.au.dk,M,DK,EDU,25,6,6,3,3,109,4
"Boughanem, Mohand",@irit.fr,M,FR,EDU,329,27,19,85,44,2961,
"Bougé, Luc",@ens-rennes.fr,M,FR,EDU,189,25,12,45,16,2012,
"Boukhalfa, Kamel",@usthb.dz,M,DZ,EDU,54,9,8,9,6,286,45
"Boukhelef, Djillali",,M,,,,,,,,,2
"Boukhobza, Jalil",,M,,,,,,,,,53
"Bouloukakis, Georgios",@inria.fr,M,FR,EDU,15,3,3,1,1,37,13
"Bouman, Charles",@purdue.edu,M,US,EDU,520,47,29,155,80,11563,290
"Bouraoui, Zied",,M,UK,EDU,,,,,,,36
"Bourhis, Pierre",@univ-lille1.fr,M,FR,EDU,52,12,10,15,12,324,55
"Bourke, Timothy",@tbrk.org,M,FR,EDU,46,10,10,10,10,777,42
"Bouteiller, Aurelien",@icl.utk.edu,M,US,EDU,67,24,22,33,30,2370,63
"Boutet, Antoine",@insa-lyon.fr,M,FR,EDU,44,9,7,8,6,261,28
"Bova, Simone",,M,AT,EDU,,,,,,,46
"Boyapati, Rahul",@tamu.edu,M,US,EDU,9,2,1,0,0,6,8
"Boyd, Stephen",@stanford.edu,M,US,EDU,566,103,75,333,248,123838,205
"Boyle, Elette",@mit.edu,F,US,EDU,23,11,11,12,12,673,33
"Boyle, Rick",,M,,,,,,,,,46
"Bozkurt, Ilker Nadi",@cs.duke.edu,M,US,EDU,13,5,4,3,2,83,12
"Bozorgzadeh, Eli",@ics.uci.edu,F,US,EDU,136,25,12,42,14,1943,
"Bozzon, Alessandro",@tudelft.nl,M,NL,EDU,141,17,16,32,26,1253,
"Bradley, Andrew M.",,M,US,GOV,,,,,,,9
"Bradley, Paul",@methodcare.com,M,,COM,74,30,23,39,29,6697,
"Braginsky, Anastasia",,F,,COM,,,,,,,7
"Braithwaite, Matt",,M,,,,,,,,,2
"Braithwaite, Sean",,M,,,,,,,,,3
"Brambilla, Marco",@polimi.it,M,IT,EDU,275,29,22,68,47,4051,205
"Bramsen, Paul",,M,US,EDU,,,,,,,2
"Brand, Mark Van Den",@tue.nl,M,NL,EDU,250,31,20,75,51,4073,
"Brandenburg, Björn B.",@mpi-sws.org,M,DE,GOV,63,22,21,34,32,2089,80
"Brandily, Cedric",,M,,COM,,,,,,,2
"Brandić, Ivona",@ec.tuwien.ac.at,F,AT,EDU,182,32,26,62,58,7785,
"Brandon, Álvaro",,M,ES,EDU,,,,,,,1
"Brandt, Jim",,M,US,GOV,,,,,,,38
"Brandt, Sebastian",@cs.manchester.ac.uk,M,CH,EDU,64,14,9,20,9,1980,133
"Brankovic, Aleksandar",,M,ES,EDU,,,,,,,10
"Brasche, Goetz",@microsoft.com,M,,COM,14,6,4,5,3,603,12
"Brasileiro, Francisco",@computacao.ufcg.edu.br,M,BR,EDU,293,27,18,59,27,3492,127
"Brasser, Ferdinand",,M,DE,EDU,,,,,,,7
"Brasseur, Clément",,M,,,,,,,,,1
"Bratsberg, Svein Erik",@idi.ntnu.no,M,NO,EDU,37,9,7,9,5,410,30
"Braverman, Vladimir",@cs.jhu.edu,M,US,EDU,54,13,12,15,14,451,50
"Bravo, Manuel",,M,BE,EDU,,,,,,,91
"Brazdil, David",,M,,,,,,,,,1
"Brecht, Tim",@cs.uwaterloo.ca,M,CA,EDU,75,22,15,36,17,1815,105
"Breck, Jason",,M,US,EDU,,,,,,,10
"Brefeld, Ulf",@leuphana.de,M,DE,EDU,78,20,18,30,26,1860,
"Breitbart, Jens",@tum.de,M,DE,EDU,38,8,5,5,3,169,32
"Bremer, Peer-Timo",@llnl.gov,M,US,GOV,258,32,29,79,72,4109,153
"Brennan, Bob",,M,,COM,,,,,,,5
"Brent, Lexi",,F,AU,EDU,,,,,,,1
"Bressana, Pietro",@usi.ch,M,CH,EDU,5,1,1,0,0,3,3
"Breternitz, Mauricio",@iscte.pt,M,PT,EDU,114,18,13,31,18,1058,40
"Breu, Ruth",@uibk.ac.at,F,AT,EDU,274,29,20,72,50,2789,
"Breuel, Thomas",,M,,,,,,,,,
"Breuer, Alexander",@ucsd.edu,M,US,EDU,26,6,6,4,4,125,52
"Brevik, John",@online.no,M,US,EDU,42,14,9,15,9,1157,65
"Breß, Sebastian",@dfki.de,M,DE,GOV,36,12,12,16,16,379,41
"Briand, David",,M,FR,GOV,,,,,,,81
"Bridges, Patrick",@cs.unm.edu,M,US,EDU,133,23,17,34,27,1947,71
"Briggs, Ian",@qub.ac.uk,M,UK,EDU,7,3,3,2,2,33,37
"Brightwell, Ronald",@sandia.gov,M,US,GOV,197,31,19,73,42,3239,156
"Bringmann, Karl",@mpi-inf.mpg.de,M,DE,GOV,61,16,15,26,25,940,77
"Brinkmann, André",@uni-mainz.de,M,DE,EDU,138,23,15,41,29,1820,117
"Brinkmann, Govert",,M,,,,,,,,,1
"Brocanelli, Marco",,M,US,EDU,,,,,,,6
"Brokhman, Tanya",,F,IL,EDU,,,,,,,2
"Bronson, Nathan",@fb.com,M,,COM,43,16,15,19,17,1267,17
"Brooks, Alexander L.",,M,US,EDU,,,,,,,7
"Brooks, David",@eecs.harvard.edu,M,US,EDU,211,45,35,100,76,11180,144
"Brown, Fraser",,F,US,EDU,,,,,,,17
"Brown, Jed",@colorado.edu,M,US,EDU,71,13,13,14,14,4231,
"Brown, Kenneth R.",@chemistry.gatech.edu,M,US,EDU,130,24,19,45,35,2009,39
"Brown, Trevor",@cs.utoronto.ca,M,CA,EDU,15,5,5,5,5,124,31
"Browne, James",,M,US,EDU,,,,,,,241
"Bruce, Kim",@cs.pomona.edu,M,US,EDU,161,34,15,54,26,4510,
"Bruckhaus, Tilmann",,M,,,,,,,,,
"Bruinderink, Leon Groot",@tue.nl,M,NL,EDU,8,3,3,1,1,67,6
"Brumar, Iulian",,M,,,,,,,,,1
"Brumley, David",@cmu.edu,M,US,EDU,92,35,34,55,49,6278,87
"Brun, Lélio",@ens.fr,M,FR,EDU,1,1,1,0,0,2,3
"Brunet, Elisabeth",,F,,,,,,,,,
"Bruno, Rodrigo",@gsd.inesc-id.pt,M,PT,EDU,11,3,3,0,0,20,14
"Brunstrom, Anna",,F,SE,EDU,,,,,,,161
"Brunvand, Erik",@cs.utah.edu,M,US,EDU,139,24,10,46,11,1813,92
"Bruza, Peter",@qut.edu.au,M,AU,EDU,252,36,21,96,50,4621,
"BrüGner, Helge",,M,DE,EDU,,,,,,,1
"Bubak, Marian",@agh.edu.pl,M,PL,EDU,460,27,17,94,27,3093,
"Bubendorfer, Kris",@ecs.vuw.ac.nz,M,NZ,EDU,66,18,12,29,14,1089,
"Buchholz, Peter",,M,DE,EDU,,,,,,,173
"Buchler, Norbou",@mail.mil,M,US,GOV,39,10,10,11,10,577,28
"Buchmann, Alejandro",@informatik.tu-darmstadt.de,M,DE,EDU,327,42,22,136,63,8105,206
"Buckley, Scott",@mq.edu.au,M,AU,EDU,4,2,2,0,0,9,1
"Budden, David",@csail.mit.edu,M,US,EDU,31,9,9,9,9,212,32
"Budhiraja, Richa",,F,,COM,,,,,,,2
"Bugiel, Sven",@cs.uni-saarland.de,M,DE,EDU,42,15,15,21,21,1757,37
"Bugnion, Edouard",@epfl.ch,M,CH,EDU,46,23,20,26,24,5381,32
"Buhren, Robert",,M,DE,EDU,,,,,,,3
"Bui, Phi-Diep",@it.uu.se,M,SE,EDU,2,0,0,0,0,0,3
"Buiras, Pablo",@seas.harvard.edu,M,US,EDU,19,7,7,7,6,168,19
"Buland, Matthew",,M,,,,,,,,,1
"Bulej, Lubomír",@d3s.mff.cuni.cz,M,CH,EDU,63,12,10,17,10,472,55
"Bull, Mark",,M,,,,,,,,,
"Bultink, C. C.",,M,NL,EDU,,,,,,,3
"Buluc, Aydin",@lbl.gov,M,US,GOV,57,19,19,24,24,1547,59
"Buntine, Wray",@monash.edu,M,US,EDU,202,36,25,75,47,8841,155
"Burckhardt, Sebastian",@microsoft.com,M,,COM,73,24,21,35,32,2185,59
"Burger, Doug",@microsoft.com,M,,COM,,,,,,,
"Burgstaller, Bernd",,M,KR,EDU,,,,,,,42
"Burihabwa, Dorian",@unine.ch,M,CH,EDU,6,2,2,0,0,6,4
"Burke, Matthew",@cornell.edu,M,US,EDU,1,1,1,0,0,1,27
"Burke, Michael",,M,,,,,,,,,
"Burns, Randal",@cs.jhu.edu,M,US,EDU,200,40,28,84,59,7840,144
"Bursztein, Elie",@google.com,M,,COM,62,20,18,26,25,1543,51
"Burtscher, Martin",@txstate.edu,M,US,EDU,130,32,26,62,47,3509,
"Burtsev, Anton",@uci.edu,M,US,EDU,12,4,4,2,2,98,32
"Busch, Costas",@csc.lsu.edu,M,US,EDU,127,20,11,32,12,1150,122
"Bush, Randy",,M,,COM,,,,,,,138
"Bussche, Jan Van Den",@uhasselt.be,M,BE,EDU,245,31,14,82,28,4138,196
"Busse, Anselm",,M,DE,EDU,,,,,,,16
"Bustamante, Fabian",@cs.northwestern.edu,M,US,EDU,150,29,20,51,32,3749,121
"Bustos, Benjamín",@dcc.uchile.cl,M,CL,EDU,128,23,20,44,38,2635,82
"Butler, Kevin",@ufl.edu,M,US,EDU,90,20,18,34,29,1412,66
"Butt, Ali R.",@cs.vt.edu,M,US,EDU,157,24,17,39,33,1921,111
"Buttler, David",@llnl.gov,M,US,GOV,56,16,12,22,13,1778,
"Buttyán, Levente",@crysys.hu,M,HU,EDU,229,48,36,97,77,13832,
"Buyer, Johannes",,M,,,,,,,,,8
"Buyuktosunoglu, Alper",@us.ibm.com,M,US,COM,210,28,22,57,45,4267,
"Buyya, Rajkumar",@unimelb.edu.au,M,AU,EDU,710,109,83,376,320,58947,804
"Byan, Steve",,M,US,COM,,,,,,,3
"Byers, John W.",@cs.bu.edu,M,US,EDU,162,41,28,66,45,10915,
"Bykau, Siarhei",@purdue.edu,M,,COM,15,5,4,1,1,58,15
"Bykov, Maxim",,M,,,,,,,,,21
"Bykov, Sergey",,M,,,,,,,,,13
"Bylaska, Eric",@pnnl.gov,M,US,GOV,166,30,20,59,40,5385,51
"Byma, Stuart",@epfl.ch,M,CH,EDU,6,2,2,1,1,63,6
"Byna, Suren",@lbl.gov,M,US,GOV,108,19,16,29,25,959,66
"Byrd, Jason N.",@ensco.com,M,,COM,45,10,9,10,7,196,12
"Bättig, Martin",,M,CH,EDU,,,,,,,1
"Böhm, Christian",@dbs.ifi.lmu.de,M,DE,EDU,169,38,26,76,56,6275,139
"Böhm, Klemens",@kit.edu,M,US,EDU,230,30,18,75,38,2989,
"Böhme, Marcel",@nus.edu.sg,M,SG,EDU,20,7,7,6,6,153,21
"Böhme, Rainer",@uibk.ac.at,M,AT,EDU,162,35,29,70,63,3922,134
"Bönisch, Thomas",,M,,,,,,,,,
"Böttinger, Konstantin",,M,,,,,,,,,1
"Bøgh, Kenneth S.",@cs.au.dk,M,DK,EDU,12,5,5,3,3,72,9
"Büttner, Gerd",,M,,,,,,,,,
"Cabaleiro, José C.",@usc.es,M,ES,EDU,116,12,6,16,2,499,
"Caballero, Juan",@imdea.org,M,ES,EDU,51,20,18,26,24,2375,78
"Cabot, Jordi",@icrea.cat,M,ES,EDU,297,30,28,97,79,4355,259
"Cabri, Giacomo",@unimore.it,M,IT,EDU,302,28,13,71,21,3135,
"Caceres, Rajmonda Sulo",@ll.mit.edu,F,US,EDU,42,6,6,4,4,179,
"Cachin, Christian",@zurich.ibm.com,M,CH,COM,179,39,27,64,48,6409,
"Cadar, Cristian",@imperial.ac.uk,M,UK,EDU,44,18,17,24,22,4698,48
"Cadena, Jose",@vt.edu,M,US,EDU,10,4,4,3,3,125,
"Cadenelli, Nicola",@bsc.es,M,ES,GOV,1,0,0,0,0,0,1
"Caesar, Matthew",@cs.illinois.edu,M,US,EDU,144,29,27,61,48,5358,98
"Cafarella, Michael",@umich.edu,M,US,EDU,90,30,25,36,34,6558,72
"Caffarella, Mike",,M,,,,,,,,,
"Cai, Bowen",,M,,,,,,,,,40
"Cai, Deng",@cad.zju.edu.cn,M,CN,EDU,177,54,48,101,97,15183,
"Cai, Qiong",@apple.com,M,US,COM,37,8,7,8,4,431,39
"Cai, Renqin",,M,US,EDU,,,,,,,1
"Cai, Wentong",@ntu.edu.sg,M,SG,EDU,398,29,18,110,50,4218,322
"Cai, Xiao-Chuan",,M,,,,,,,,,
"Cai, Ying",@iastate.edu,M,US,EDU,95,21,13,32,17,2678,386
"Cai, Zhongmin",@sei.xjtu.edu.cn,M,CN,EDU,55,10,9,10,9,382,42
"Caiafa, Cesar",@iar.unlp.edu.ar,M,US,EDU,66,13,13,15,15,879,31
"Cain, Chris",,M,US,EDU,,,,,,,16
"Cain, Harold W.",@qti.qualcomm.com,M,,COM,35,16,11,19,13,1227,24
"Calamoneri, Tiziana",,F,,,,,,,,,
"Calandra, Henri",,M,,,,,,,,,41
"Calandrino, Joseph",,M,,,,,,,,,
"Calciu, Irina",@vmware.com,F,,COM,17,6,6,5,5,150,12
"Calderon, Alejandro",@uca.es,M,ES,EDU,16,4,4,1,1,46,
"Calheiros, Rodrigo N.",,M,,,,,,,,,
"Calhoun, Jon",,M,US,EDU,,,,,,,15
"Caliskan, Aylin",@princeton.edu,F,US,EDU,14,8,8,8,8,236,
"Callaghan, Mark",,M,,COM,,,,,,,13
"Callan, Jamie",@cs.cmu.edu,M,US,EDU,227,57,36,123,84,10194,220
"Calotoiu, Alexandru",,M,DE,EDU,,,,,,,13
"Calyam, Prasad",@missouri.edu,M,US,EDU,110,17,13,23,15,902,
"Calì, Andrea",@dcs.bbk.ac.uk,M,UK,EDU,137,25,17,44,31,3695,
"Camarero, Cristóbal",@unican.es,M,ES,EDU,32,7,6,4,3,140,26
"Camargo, Edson Tavares",,M,BR,EDU,,,,,,,4
"Camargo, Raphael Y. De",@ufabc.edu.br,M,BR,EDU,48,11,6,11,4,282,35
"Cambazoglu, B. Barla",@yahoo-inc.com,M,,COM,97,29,22,50,46,1914,
"Camenisch, Jan",@zurich.ibm.com,M,CH,COM,349,58,42,115,100,17422,187
"Cameron, Kirk W.",@cs.vt.edu,M,US,EDU,158,27,23,51,40,3000,106
"Campanelli, Matteo",@gradcenter.cuny.edu,M,US,EDU,7,3,3,1,0,24,7
"Campanoni, Simone",@eecs.northwestern.edu,M,US,EDU,46,12,10,12,10,376,
"Campbell, Bradford",,M,US,EDU,,,,,,,41
"Campbell, Roy",@illinois.edu,M,US,EDU,718,65,38,253,110,18387,421
"Campes, Cassiano",,M,,,,,,,,,1
"Campos, Breno",,M,,,,,,,,,2
"Campos, Raphael",@dcc.ufmg.br,M,BR,EDU,5,1,1,0,0,1,3
"Canal, Ramon",@ac.upc.edu,M,ES,EDU,72,17,13,24,17,1386,65
"Canales, Rodrigo",,M,DE,EDU,,,,,,,16
"Candan, K. Selçuk",@asu.edu,M,US,EDU,330,36,23,107,47,5664,237
"Candea, George",@epfl.ch,M,CH,EDU,123,35,27,56,49,5234,97
"Candel, Arno",,M,,,,,,,,,
"Canel, Christopher",,M,US,EDU,,,,,,,3
"Canini, Marco",@kaust.edu.sa,M,SA,EDU,82,19,17,28,25,1465,78
"Canino, Anthony",,M,US,EDU,,,,,,,4
"Canning, Andrew",@lbl.gov,M,US,GOV,146,25,15,47,21,1962,
"Cano, Ignacio",@cs.washington.edu,M,US,EDU,4,3,3,1,1,23,9
"Cano, Jose",,M,UK,EDU,,,,,,,39
"Canon, Louis-Claude",@univ-fcomte.fr,M,FR,EDU,33,9,7,9,4,276,34
"Canon, Richard Shane",,M,,,,,,,,,
"Cantador, Iván",@uam.es,M,ES,EDU,131,27,25,55,43,2856,
"Cantalupo, Christopher",,M,,COM,,,,,,,37
"Cantin, Pierre-Luc",,M,,,,,,,,,2
"Canuto, Sérgio",@dcc.ufmg.br,M,BR,EDU,12,4,4,3,3,47,10
"Cao, Bokai",@uic.edu,M,US,EDU,28,6,6,4,4,181,34
"Cao, Cheng",,M,US,EDU,,,,,,,129
"Cao, Chun",,M,CN,EDU,,,,,,,83
"Cao, Da",,M,,,,,,,,,10
"Cao, Jian",@sjtu.edu.cn,M,CN,EDU,303,22,15,77,24,2174,
"Cao, Jiannong",@comp.polyu.edu.hk,M,HK,EDU,968,45,35,259,165,9716,653
"Cao, Jiaxin",@fb.com,M,,COM,7,4,4,4,4,150,8
"Cao, Lianjie",@purdue.edu,M,US,EDU,7,2,2,1,1,15,10
"Cao, Longbing",@uts.edu.au,M,AU,EDU,486,34,28,124,86,4657,304
"Cao, Man",@google.com,M,,COM,19,6,6,4,4,123,43
"Cao, Nan",@us.ibm.com,M,US,COM,102,18,17,25,25,1095,125
"Cao, Qiang",@cs.duke.edu,M,US,EDU,11,6,4,4,4,309,226
"Cao, Qiang",@mail.ustc.edu.cn.com,M,,COM,17,4,4,1,1,58,226
"Cao, Qingqing",@cs.stonybrook.edu,M,US,EDU,2,1,1,0,0,1,26
"Cao, Shilei",,M,CN,EDU,,,,,,,12
"Cao, Shunde",,M,CN,EDU,,,,,,,7
"Cao, Thang",,M,JP,EDU,,,,,,,7
"Cao, Xin",@unsw.edu.au,M,AU,EDU,21,13,13,15,15,1181,127
"Cao, Yang",@ed.ac.uk,M,UK,EDU,14,7,7,5,5,214,451
"Cao, Yi",,M,,,,,,,,,328
"Cao, Yinzhi",@u.northwestern.edu,M,US,EDU,23,9,9,7,7,214,28
"Cao, Yong",,M,CN,EDU,,,,,,,385
"Cao, Yue",,M,US,EDU,,,,,,,187
"Cao, Yulong",,M,US,EDU,,,,,,,4
"Cao, Zhen",,M,US,EDU,,,,,,,147
"Capkun, Srdjan",@inf.ethz.ch,M,CH,EDU,244,53,45,102,91,14319,
"Cappello, Franck",@anl.gov,M,US,GOV,295,42,36,102,78,8156,216
"Cappos, Justin",@nyu.edu,M,US,EDU,75,14,12,22,15,716,64
"Capra, Robert",@unc.edu,M,US,EDU,98,20,14,34,21,1489,
"Carastan-Santos, Danilo",,M,BR,EDU,,,,,,,3
"Carbin, Michael",@csail.mit.edu,M,,COM,29,14,13,15,15,1320,33
"Cardellini, Valeria",@ing.uniroma2.it,F,IT,EDU,95,24,17,44,29,3518,
"Cardenas, Alvaro A.",@utdallas.edu,M,US,EDU,113,25,24,41,39,3269,
"Cardoso, João M. P.",@fe.up.pt,M,PT,EDU,251,25,19,58,38,2595,
"Carle, Georg",@in.tum.de,M,DE,EDU,414,27,20,78,46,3571,298
"Carlini, Nicholas",@berkeley.edu,M,US,EDU,10,7,7,6,6,475,20
"Carlson, Richard",,M,,,,,,,,,
"Carlson, Travis",,M,,,,,,,,,2
"Carlson, Trevor E.",@comp.nus.edu.sg,M,SE,EDU,55,11,11,12,12,789,32
"Carlsson, Niklas",@ida.liu.se,M,SE,EDU,72,18,17,31,28,1228,101
"Carlsson, Trevor E.",@comp.nus.edu.sg,F,SE,EDU,58,12,12,12,12,860,32
"Carmean, Douglas M.",,M,,COM,,,,,,,10
"Carmel, David",@yahoo-inc.com,M,,COM,151,39,27,87,61,5941,
"Carmeli, Nofar",,F,IL,EDU,,,,,,,4
"Carmer, Brent",,M,,COM,,,,,,,5
"Carno, Anthony",@vt.edu,M,US,EDU,3,2,2,0,0,8,3
"Carns, Phil",,M,,,,,,,,,
"Carns, Philip",@mcs.anl.gov,M,US,GOV,62,18,16,27,25,2703,67
"Carothers, Chris",@cs.rpi.edu,M,US,GOV,132,25,18,46,34,2184,113
"Carothers, Christopher",@cs.rpi.edu,M,US,EDU,132,26,19,46,34,2315,113
"Carpen-Amarie, Alexandra",,F,AT,EDU,,,,,,,31
"Carpenter, Paul",@bsc.es,M,ES,GOV,36,8,7,6,5,255,30
"Carr, Scott",@purdue.edu,M,US,EDU,11,2,2,2,2,40,11
"Carra, Damiano",@univr.it,M,IT,EDU,50,12,10,17,10,464,52
"Carrera, David",@ac.upc.edu,M,ES,GOV,97,23,19,40,32,1947,134
"Carretero, Jesus",@inf.uc3m.es,M,ES,EDU,353,23,17,66,35,2440,
"Carreño, Emmanuell Diaz",,M,BR,EDU,,,,,,,3
"Carribault, Patrick",@cea.fr,M,FR,GOV,42,10,8,10,6,681,
"Carrington, Laura",@epanalytics.com,F,,COM,88,19,17,31,24,1541,
"Carrión, Joe",,M,ES,EDU,,,,,,,4
"Carro, Luigi",@inf.ufrgs.br,M,BR,EDU,626,34,23,126,65,5080,359
"Carter, John",@us.ibm.com,M,US,COM,204,38,25,72,40,7391,
"Carvalho, Marcus",@dcx.ufpb.br,M,BR,EDU,17,4,4,2,2,57,11
"Cary, John",@colorado.edu,M,US,EDU,578,40,21,101,52,8380,
"Carzaniga, Antonio",,M,CH,EDU,,,,,,,110
"Casale, Giuliano",@imperial.ac.uk,M,UK,EDU,179,25,20,52,42,1958,210
"Casanova, Henri",@hawaii.edu,M,US,EDU,283,49,29,122,67,10281,202
"Casas, Marc",@bsc.es,M,ES,GOV,63,11,10,13,10,335,47
"Cash, David",@cs.rutgers.edu,M,US,EDU,32,20,19,22,22,2545,55
"Cassel, Darion",,M,US,EDU,,,,,,,3
"Cassell, Benjamin",@uwaterloo.ca,M,CA,EDU,4,2,2,0,0,10,17
"Cassuto, Yuval",@ee.technion.ac.il,M,IL,EDU,89,14,13,26,22,833,
"Castañeda, Armando",@im.unam.mx,M,MX,EDU,39,8,8,7,6,258,37
"Castells, Pablo",@uam.es,M,ES,EDU,195,37,31,84,54,5050,148
"Castelluccia, Claude",@inria.fr,M,FR,EDU,177,42,31,80,51,8850,131
"Castelló, Adrián",@uji.es,M,ES,EDU,21,5,5,4,4,84,10
"Castillo, Carlos",@acm.org,M,,,188,49,42,112,92,10268,
"Castillo, Claris",@renci.org,F,US,EDU,38,11,11,11,11,681,
"Castrillón, Jerónimo",@tu-dresden.de,M,DE,EDU,81,12,11,13,13,583,
"Castro, Daniel",,M,PT,EDU,,,,,,,40
"Castro, Miguel",@microsoft.com,M,,COM,208,46,33,66,49,17276,
"Catasta, Michele",@cs.stanford.edu,F,US,EDU,31,10,10,10,10,857,
"Caulfield, Laura",,F,,,,,,,,,24
"Caulfield, Tristan",@ucl.ac.uk,M,UK,EDU,15,6,5,2,1,61,15
"Cautis, Bogdan",@u-psud.fr,M,FR,EDU,52,13,10,16,11,517,
"Cavalcanti, Guilherme",,M,,,,,,,,,10
"Cavallaro, Lorenzo",@rhul.ac.uk,M,UK,EDU,66,18,17,22,20,1609,59
"Cavazos, John",@udel.edu,M,US,EDU,79,21,19,29,23,1958,
"Cavelan, Aurélien",@ens-lyon.fr,M,FR,EDU,16,4,4,3,2,62,21
"Caverlee, James",@cse.tamu.edu,M,US,EDU,146,28,25,58,47,4109,132
"Cavilla, Andres Lagar",@gridcentric.ca,M,CA,COM,36,16,15,20,17,1580,
"Cazzola, Walter",@di.unimi.it,M,IT,EDU,216,22,14,51,24,1491,
"Caíno-Lores, Silvina",@inf.uc3m.es,F,ES,EDU,10,2,2,0,0,9,
"Cañamares, Rocío",@uam.es,F,ES,EDU,3,1,1,0,0,6,2
"Ceballos, German",@it.uu.se,M,SE,EDU,8,1,1,0,0,4,10
"Cecchetti, Ethan",@cs.cornell.edu,M,US,EDU,5,1,1,1,1,39,5
"Ceci, Michelangelo",@di.uniba.it,M,IT,EDU,199,20,14,37,22,1443,
"Cecka, Cris",@nvidia.com,M,,COM,19,7,7,6,6,306,11
"Cela, José María",,M,ES,GOV,,,,,,,44
"Celik, Ahmet",,M,US,EDU,,,,,,,161
"Celik, Berk",@utbm.fr,M,FR,EDU,13,5,5,4,4,163,5
"Celis, L. Elisa",,F,CH,EDU,,,,,,,38
"Cello, Marco",@nokia.com,M,,COM,33,6,6,4,4,169,26
"Censor-Hillel, Keren",@cs.technion.ac.il,F,IL,EDU,43,15,15,19,18,556,68
"Cerdà-Alabern, Llorenç",@ac.upc.edu,M,ES,EDU,108,18,11,24,12,767,50
"Cerf, Loïc",,M,,,,,,,,,
"Ceri, Stefano",@polimi.it,M,IT,EDU,534,72,36,210,91,25185,
"Cerqueira, Joao Pedro",,M,US,EDU,,,,,,,2
"Cerulli, Andrea",@ucl.ac.uk,M,UK,EDU,7,4,4,3,3,53,6
"Cetintemel, Ugur",,M,US,EDU,,,,,,,116
"Ceze, Luis",@cs.washington.edu,M,US,EDU,194,37,31,67,61,6083,168
"Cha, Sang Kil",@kaist.ac.kr,M,KR,EDU,15,9,9,8,7,700,14
"Cha, Sungdeok",,M,KR,EDU,,,,,,,85
"Chaabane, Abdelberi",@inrialpes.fr,M,US,EDU,20,9,9,8,8,293,7
"Chabbi, Milind",@rice.edu,M,US,COM,22,7,6,5,5,142,20
"Chabridon, Sophie",@it-sudparis.eu,F,FR,EDU,81,13,9,16,7,478,
"Chachra, Neha",@fb.com,F,,COM,9,5,5,5,5,495,
"Chadalavada, Kalyana",@intel.com,M,,COM,26,4,4,1,1,66,
"Chae, Kwonsoo",,M,,,,,,,,,2
"Chaganti, Akhilesh",@cs.stonybrook.edu,M,US,EDU,4,1,1,0,0,1,3
"Chai, Anchen",,M,,,,,,,,,1
"Chai, Chengliang",,M,CN,EDU,2,2,2,1,1,27,54
"Chai, Eugene",@nec-labs.com,M,,COM,29,6,4,3,2,86,23
"Chaidaroon, Suthee",@scu.edu,M,US,EDU,2,1,1,1,1,15,2
