name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Agrawal, Nitin",@cs.wisc.edu,M,US,EDU,22,12,11,12,11,2162,69
"Agrawal, Rakesh",@microsoft.com,M,,COM,472,97,55,237,157,104057,
"Agrawal, Sandeep R.",@oracle.com,M,US,COM,7,2,2,1,1,25,14
"Agrawal, Shashank",@visa.com,M,,COM,31,9,9,7,7,238,102
"Agrawal, Shweta",@iitm.ac.in,F,IN,EDU,37,17,16,18,17,1601,51
"Aguiar, Leandro P. De",,M,,COM,,,,,,,7
"Aguilera, Marcos K.",@vmware.com,M,,COM,128,37,26,59,47,6257,
"Agullo, Emmanuel",,M,,,,,,,,,
"Agung, Mulya",,M,JO,EDU,,,,,,,2
"Ahalt, Stan",,M,,,,,,,,,
"Ahamad, Mustaque",@cc.gatech.edu,M,US,EDU,206,35,18,98,30,5874,184
"Ahmad, Irfan",,M,,,,,,,,,116
"Ahmad, Ishfaq",@cse.uta.edu,M,US,EDU,793,49,32,168,89,11670,238
"Ahmad, Maaz Bin Safeer",,M,US,EDU,,,,,,,4
"Ahmad, Masab",@uconn.edu,M,US,EDU,17,4,4,2,2,49,15
"Ahmad, Raza",,M,,,,,,,,,20
"Ahmad, Yanif",@jhu.edu,M,US,EDU,51,13,11,17,12,2078,
"Ahmed, Amal",@ccs.neu.edu,F,US,EDU,55,23,16,28,24,1358,154
"Ahmed, Kishwar",@fiu.edu,M,US,EDU,10,3,3,0,0,19,12
"Ahmed, M Meraj",@g.rit.edu,M,US,EDU,5,1,1,0,0,2,8
"Ahmed, Maruf",,F,,,,,,,,,34
"Ahmed, Pritom",@ucr.edu,M,US,EDU,3,2,2,0,0,6,4
"Ahmed, Salah",,M,US,EDU,,,,,,,16
"Ahn, Dong H.",,M,US,GOV,,,,,,,43
"Ahn, Ethan C.",@utsa.edu,M,US,EDU,32,9,7,8,7,238,4
"Ahn, Gail-Joon",@asu.edu,M,US,EDU,306,43,34,110,82,7685,249
"Ahn, Jung Ho",@snu.ac.kr,M,KR,EDU,90,27,23,35,32,5392,90
"Ahn, Soohan",,M,KR,EDU,,,,,,,19
"Ahrens, James",@lanl.gov,M,US,GOV,194,26,20,51,42,2890,70
"Ai, Qingyao",@cs.umass.edu,M,US,EDU,11,5,5,4,4,93,19
"Ai, Zhiyuan",,M,CN,EDU,,,,,,,1
"Aida, Kento",,M,,,,,,,,,
