name,gs_email,role,key
"Davidson, Susan",@cis.upenn.edu,author,CIDR_17_020
"Deutch, Daniel",@post.tau.ac.il,author,CIDR_17_020
"Milo, Tova",@cs.tau.ac.il,author,CIDR_17_020
"Silvello, Gianmaria",@dei.unipd.it,author,CIDR_17_020
"Faleiro, Jose M.",@yale.edu,author,CIDR_17_021
"Abadi, Daniel J.",@cs.yale.edu,author,CIDR_17_021
"Tang, Dixin",,author,CIDR_17_022
"Jiang, Hao",,author,CIDR_17_022
"Elmore, Aaron J.",,author,CIDR_17_022
"Shang, Zechao",@uchicago.edu,author,CIDR_17_023
"Yu, Jeffrey Xu",,author,CIDR_17_023
"Binnig, Carsten",@brown.edu,author,CIDR_17_024
"Stefani, Lorenzo De",,author,CIDR_17_024
"Kraska, Tim",@cs.berkeley.edu,author,CIDR_17_024
"Upfal, Eli",@brown.edu,author,CIDR_17_024
"Zgraggen, Emanuel",@brown.edu,author,CIDR_17_024
"Zhao, Zheguang",@brown.edu,author,CIDR_17_024
"Elgamal, Tarek",@illinois.edu,author,CIDR_17_025
"Luo, Shangyu",@rice.edu,author,CIDR_17_025
"Boehm, Mattias",@ibm.com,author,CIDR_17_025
"Evfimievski, Alexandre V.",,author,CIDR_17_025
"Tatikonda, Shirish",@target.com,author,CIDR_17_025
"Reinwald, Berthold",,author,CIDR_17_025
"Sen, Prithviraj",@us.ibm.com,author,CIDR_17_025
"Kimura, Hideaki",@cs.brown.edu,author,CIDR_17_026
"Simitsis, Alkis",@hpe.com,author,CIDR_17_026
"Wilkinson, Kevin",@hpe.com,author,CIDR_17_026
"Palkar, Shoumik",@stanford.edu,author,CIDR_17_027
"Thomas, James J.",,author,CIDR_17_027
"Shanbhag, Anil",@mit.edu,author,CIDR_17_027
"Narayanan, Deepak",@cs.stanford.edu,author,CIDR_17_027
"Pirk, Holger",@csail.mit.edu,author,CIDR_17_027
"Schwarzkopf, Malte",@csail.mit.edu,author,CIDR_17_027
"Amarasinghe, Saman",@mit.edu,author,CIDR_17_027
"Zaharia, Matei",@cs.stanford.edu,author,CIDR_17_027
"Kersten, Martin",@cwi.nl,author,CIDR_17_028
"Sidirourgos, Lefteris",@cwi.nl,author,CIDR_17_028
"Marcus, Ryan",@rmarcus.info,author,CIDR_17_029
"Papaemmanouil, Olga",@cs.brandeis.edu,author,CIDR_17_029
"Dong, Siying",,author,CIDR_17_030
"Callaghan, Mark",,author,CIDR_17_030
"Galanis, Leonidas",,author,CIDR_17_030
"Borthakur, Dhruba",,author,CIDR_17_030
"Savor, Tony",,author,CIDR_17_030
"Strum, Michael",,author,CIDR_17_030
"Chu, Shumo",@acm.org,author,CIDR_17_031
"Wang, Chenglong",,author,CIDR_17_031
"Weitz, Konstantin",@uw.edu,author,CIDR_17_031
"Cheung, Alvin",,author,CIDR_17_031
"Chandramouli, Badrish",@microsoft.com,author,CIDR_17_032
"Gehrke, Johannes",@microsoft.com,author,CIDR_17_032
"Goldstein, Jonathan",,author,CIDR_17_032
"Kossmann, Donald",,author,CIDR_17_032
"Levandoski, Justin",@microsoft.com,author,CIDR_17_032
"Marroquin, Renato",,author,CIDR_17_032
"Xie, Wenlei",@linkedin.com,author,CIDR_17_032
"Rauchwerger, Lawrence",@tamu.edu,chair,PPoPP_17
"Amato, Nancy",@tamu.edu,pc,PPoPP_17
"Lee, I-Ting Angelina",@wustl.edu,pc,PPoPP_17
"Batty, Mark",,pc,PPoPP_17
"Bosilca, George",@icl.utk.edu,pc,PPoPP_17
"Chabbi, Milind",@rice.edu,pc,PPoPP_17
"Clay, Robert",@cray.com,pc,PPoPP_17
"Cohen, Albert",@inria.fr,pc,PPoPP_17
"Dice, David",@oracle.com,pc,PPoPP_17
"Dwarkadas, Sandhya",@cs.rochester.edu,pc,PPoPP_17
"Elnozahy, Elmootazbellah",@kaust.edu.sa,pc,PPoPP_17
"Garzarán, María Jesús",@uiuc.edu,pc,PPoPP_17
"Goldstein, Seth Copen",@cmu.edu,pc,PPoPP_17
"Govindarajan, R.",@serc.iisc.ernet.in,pc,PPoPP_17
"Hall, Mary",@cs.utah.edu,pc,PPoPP_17
"Harris, Tim",@oracle.com,pc,PPoPP_17
"Hayashi, Akihiro",@rice.edu,pc,PPoPP_17
"He, Yuxiong",@microsoft.com,pc,PPoPP_17
"Hendrickson, Bruce",@sandia.gov,pc,PPoPP_17
"Huang, Jeff",@cse.tamu.edu,pc,PPoPP_17
"Kasahara, Hironori",@waseda.jp,pc,PPoPP_17
"Kelly, Paul",@imperial.ac.uk,pc,PPoPP_17
"Kogan, Alex",@oracle.com,pc,PPoPP_17
"Lea, Doug",@cs.oswego.edu,pc,PPoPP_17
"Lee, Jaejin",@snu.ac.kr,pc,PPoPP_17
"Mckenney, Paul E.",@linux.vnet.ibm.com,pc,PPoPP_17
"Mckinley, Kathryn S.",@cs.utexas.edu,pc,PPoPP_17
"Mellor-Crummey, John",@rice.edu,pc,PPoPP_17
"Midkiff, Samuel",,pc,PPoPP_17
"Morrison, Adam",@cs.tau.ac.il,pc,PPoPP_17
"Narayanasamy, Satish",@umich.edu,pc,PPoPP_17
"Oancea, Cosmin",@diku.edu,pc,PPoPP_17
"Olukotun, Kunle",@stanford.edu,pc,PPoPP_17
"Padua, David",@illinois.edu,pc,PPoPP_17
"Petrank, Erez",@cs.technion.ac.il,pc,PPoPP_17
"Pingali, Keshav",@cs.utexas.edu,pc,PPoPP_17
"Rauchwerger, Lawrence",@tamu.edu,pc,PPoPP_17
"Rinard, Martin",@lcs.mit.edu,pc,PPoPP_17
"Sadayappan, P.",@cse.ohio-state.edu,pc,PPoPP_17
"Scott, Michael L.",@cs.rochester.edu,pc,PPoPP_17
"Shpeisman, Tatiana",,pc,PPoPP_17
"Solar-Lezama, Armando",@csail.mit.edu,pc,PPoPP_17
"Vetter, Jeffrey S.",@acm.org,pc,PPoPP_17
"Vishkin, Uzi",@umd.edu,pc,PPoPP_17
"Wu, Chenggang",,pc,PPoPP_17
"Steele, Guy L.",@oracle.com,keynote,PPoPP_17
"Keckler, Stephen",@cs.utexas.edu,keynote,PPoPP_17
"Seide, Frank",,keynote,PPoPP_17
"Pingali, Keshav",@cs.utexas.edu,session,PPoPP_17
"Scott, Michael L.",@cs.rochester.edu,session,PPoPP_17
"Chabbi, Milind",@rice.edu,session,PPoPP_17
"Lee, I-Ting Angelina",@wustl.edu,session,PPoPP_17
"Rauchwerger, Lawrence",@tamu.edu,session,PPoPP_17
"Sadayappan, P.",@cse.ohio-state.edu,session,PPoPP_17
"Midkiff, Samuel",,session,PPoPP_17
"Elnozahy, Elmootazbellah",@kaust.edu.sa,session,PPoPP_17
"Yeh, Tsung Tai",,author,PPoPP_17_001
"Sabne, Amit",@purdue.edu,author,PPoPP_17_001
"Sakdhnagool, Putt",,author,PPoPP_17_001
"Eigenmann, Rudolf",,author,PPoPP_17_001
"Rogers, Timothy G.",@purdue.edu,author,PPoPP_17_001
"Schardl, Tao B.",@mit.edu,author,PPoPP_17_002
"Moses, William S.",@mit.edu,author,PPoPP_17_002
"Leiserson, Charles E.",@mit.edu,author,PPoPP_17_002
"Ben-Nun, Tal",@cs.huji.ac.il,author,PPoPP_17_003
"Sutton, Michael",,author,PPoPP_17_003
"Pai, Sreepathi",@cs.rochester.edu,author,PPoPP_17_003
"Pingali, Keshav",@cs.utexas.edu,author,PPoPP_17_003
"Tang, Xiongchao",,author,PPoPP_17_004
"Zhai, Jidong",,author,PPoPP_17_004
"Yu, Bowen",,author,PPoPP_17_004
"Chen, Wenguang",,author,PPoPP_17_004
"Zheng, Weimin",@tsinghua.edu.cn,author,PPoPP_17_004
"Vollmer, Michael",@indiana.edu,author,PPoPP_17_005
"Scott, Ryan G.",,author,PPoPP_17_005
"Musuvathi, Madan",@microsoft.com,author,PPoPP_17_005
"Newton, Ryan R.",@indiana.edu,author,PPoPP_17_005
"Bättig, Martin",,author,PPoPP_17_006
"Gross, Thomas R.",@tomgross.net,author,PPoPP_17_006
"Ou, Peizhao",@uci.edu,author,PPoPP_17_007
"Demsky, Brian",,author,PPoPP_17_007
"Chabbi, Milind",@rice.edu,author,PPoPP_17_008
"Amer, Halim",@aurak.ac.ae,author,PPoPP_17_008
"Wen, Shasha",,author,PPoPP_17_008
"Liu, Xu",@cs.wm.edu,author,PPoPP_17_008
"Wu, Panruo",@cs.ucr.edu,author,PPoPP_17_009
"Debardeleben, Nathan",@lanl.gov,author,PPoPP_17_009
"Guan, Qiang",@lanl.gov,author,PPoPP_17_009
"Blanchard, Sean",,author,PPoPP_17_009
"Chen, Jieyang",@ucr.edu,author,PPoPP_17_009
"Tao, Dingwen",@cs.ucr.edu,author,PPoPP_17_009
"Liang, Xin",@ucr.edu,author,PPoPP_17_009
"Ouyang, Kaiming",@ucr.edu,author,PPoPP_17_009
"Chen, Zizhong",@cs.ucr.edu,author,PPoPP_17_009
"Moreira, Rubens E. A.",,author,PPoPP_17_010
"Collange, Sylvain",@inria.fr,author,PPoPP_17_010
"Pereira, Fernando Magno Quintão",@dcc.ufmg.br,author,PPoPP_17_010
"Wang, Xin3",,author,PPoPP_17_011
"Zhang, Weihua",@fudan.edu.cn,author,PPoPP_17_011
"Wang, Zhaoguo",,author,PPoPP_17_011
"Wei, Ziyun",,author,PPoPP_17_011
"Chen, Haibo",@sjtu.edu.cn,author,PPoPP_17_011
"Zhao, Wenyun",,author,PPoPP_17_011
"Cohen, Nachshon",@cs.technion.ac.il,author,PPoPP_17_012
"Tal, Arie",@ariel.ac.il,author,PPoPP_17_012
"Petrank, Erez",@cs.technion.ac.il,author,PPoPP_17_012
"Zhang, Xiuxia",@ict.ac.cn,author,PPoPP_17_013
"Tan, Guangming",,author,PPoPP_17_013
"Xue, Shuangbai",,author,PPoPP_17_013
"Li, Jiajia",@gatech.edu,author,PPoPP_17_013
"Zhou, Keren",@mails.ucas.ac.cn,author,PPoPP_17_013
"Chen, Mingyu",@ict.ac.cn,author,PPoPP_17_013
"Chen, Guoyang",@ncsu.edu,author,PPoPP_17_014
"Zhao, Yue",@ncsu.edu,author,PPoPP_17_014
"Shen, Xipeng",@ncsu.edu,author,PPoPP_17_014
"Zhou, Huiyang",@ncsu.edu,author,PPoPP_17_014
"Prajapati, Nirmal",@colostate.edu,author,PPoPP_17_015
"Ranasinghe, Waruna",,author,PPoPP_17_015
"Rajopadhye, Sanjay",@colostate.edu,author,PPoPP_17_015
"Andonov, Rumen",@irisa.fr,author,PPoPP_17_015
"Djidjev, Hristo",@lanl.gov,author,PPoPP_17_015
"Grosser, Tobias",@inf.ethz.ch,author,PPoPP_17_015
"Steele, Guy L.",@oracle.com,author,PPoPP_17_016
"Tristan, Jean-Baptiste",@oracle.com,author,PPoPP_17_016
"Ren, Bin",@cs.wm.edu,author,PPoPP_17_017
"Krishnamoorthy, Sriram",@pnnl.gov,author,PPoPP_17_017
"Agrawal, Kunal",@wustl.edu,author,PPoPP_17_017
"Kulkarni, Milind",@purdue.edu,author,PPoPP_17_017
"Luo, Hao",@cs.rochester.edu,author,PPoPP_17_018
"Ding, Chen",@cs.rochester.edu,author,PPoPP_17_018
"Jiang, Peng",@osu.edu,author,PPoPP_17_019
"Agrawal, Gagan",@cse.ohio-state.edu,author,PPoPP_17_019
"Basin, Dmitry",,author,PPoPP_17_020
"Bortnikov, Edward",@yahoo-inc.com,author,PPoPP_17_020
"Braginsky, Anastasia",,author,PPoPP_17_020
"Gueta, Guy Golan",,author,PPoPP_17_020
"Hillel, Eshcar",,author,PPoPP_17_020
"Keidar, Idit",@ee.technion.ac.il,author,PPoPP_17_020
"Sulamy, Moshe",,author,PPoPP_17_020
"Sato, Kento",@llnl.gov,author,PPoPP_17_021
"Ahn, Dong H.",,author,PPoPP_17_021
"Laguna, Ignacio",@llnl.gov,author,PPoPP_17_021
"Lee, Gregory L.",,author,PPoPP_17_021
"Schulz, Martin",@llnl.gov,author,PPoPP_17_021
"Chambreau, Christopher M.",,author,PPoPP_17_021
"Acar, Umut A.",@cs.cmu.edu,author,PPoPP_17_022
"Ben-David, Naama",@cs.cmu.edu,author,PPoPP_17_022
"Rainey, Mike",@inria.fr,author,PPoPP_17_022
"Utterback, Robert",@wustl.edu,author,PPoPP_17_023
"Agrawal, Kunal",@wustl.edu,author,PPoPP_17_023
"Lee, I-Ting Angelina",@wustl.edu,author,PPoPP_17_023
"Kulkarni, Milind",@purdue.edu,author,PPoPP_17_023
"Sabne, Amit",@purdue.edu,author,PPoPP_17_024
"Wang, Xiao",@childrens.harvard.edu,author,PPoPP_17_024
"Kisner, Sherman",,author,PPoPP_17_024
"Bouman, Charles",@purdue.edu,author,PPoPP_17_024
"Raghunathan, Anand",@purdue.edu,author,PPoPP_17_024
"Midkiff, Samuel",,author,PPoPP_17_024
"Matveev, Alexander",@csail.mit.edu,author,PPoPP_17_025
"Meirovitch, Yaron",,author,PPoPP_17_025
"Saribekyan, Hayk",,author,PPoPP_17_025
"Jakubiuk, Wiktor",,author,PPoPP_17_025
"Kaler, Timothy",@mit.edu,author,PPoPP_17_025
"Odor, Gergely",@mit.edu,author,PPoPP_17_025
"Budden, David",@csail.mit.edu,author,PPoPP_17_025
"Zlateski, Aleksandar",@mit.edu,author,PPoPP_17_025
"Shavit, Nir",,author,PPoPP_17_025
"Rajbhandari, Samyam",@microsoft.com,author,PPoPP_17_026
"Rastello, Fabrice",,author,PPoPP_17_026
"Krishnamoorthy, Sriram",@pnnl.gov,author,PPoPP_17_026
"Kowalski, Karol",@pnnl.gov,author,PPoPP_17_026
"Sadayappan, P.",@cse.ohio-state.edu,author,PPoPP_17_026
"Awan, Ammar Ahmad",@osu.edu,author,PPoPP_17_027
"Hamidouche, Khaled",,author,PPoPP_17_027
"Hashmi, Jahanzeb Maqbool",@osu.edu,author,PPoPP_17_027
"Panda, Dhabaleswar K.",@cse.ohio-state.edu,author,PPoPP_17_027
"Shudler, Sergei",,author,PPoPP_17_028
"Calotoiu, Alexandru",,author,PPoPP_17_028
"Hoefler, Torsten",@inf.ethz.ch,author,PPoPP_17_028
"Wolf, Felix",@cs.tu-darmstadt.de,author,PPoPP_17_028
"Jiang, Lin",,author,PPoPP_17_029
"Zhao, Zhijia",@cs.ucr.edu,author,PPoPP_17_029
"Jimenez, Daniel A.",@acm.org,chair,HPCA_17
"Bertacco, Valeria",@umich.edu,pc,HPCA_17
"Bhattacharjee, Abhishek",@cs.rutgers.edu,pc,HPCA_17
"Das, Reetuparna",@umich.edu,pc,HPCA_17
"Esmaeilzadeh, Hadi",@eng.ucsd.edu,pc,HPCA_17
"Etsion, Yoav",@ee.technion.ac.il,pc,HPCA_17
"Falsafi, Babak",@epfl.ch,pc,HPCA_17
"Ferdman, Michael",@cs.stonybrook.edu,pc,HPCA_17
"Gonzalez, Antonio",@ac.upc.edu,pc,HPCA_17
"Gratz, Paul V.",@tamu.edu,pc,HPCA_17
"Hardavellas, Nikos",@northwestern.edu,pc,HPCA_17
"Hiraki, Kei",,pc,HPCA_17
"Huh, Jaehyuk",@kaist.ac.kr,pc,HPCA_17
"Ipek, Engin",@cs.rochester.edu,pc,HPCA_17
"Kaeli, David R.",@ece.neu.edu,pc,HPCA_17
"Khan, Samira",@virginia.edu,pc,HPCA_17
"Kim, Hyesoon",@cc.gatech.edu,pc,HPCA_17
"Lee, Benjamin C.",@duke.edu,pc,HPCA_17
"Li, Tao",,pc,HPCA_17
"Lin, Calvin",@cs.utexas.edu,pc,HPCA_17
"Loh, Gabriel H.",@amd.com,pc,HPCA_17
"Lu, Shih-Lien",@oregonstate.edu,pc,HPCA_17
"Michaud, Pierre",,pc,HPCA_17
"Miller, Timothy N.",@binghamton.edu,pc,HPCA_17
"Moreto, Miquel",@ac.upc.edu,pc,HPCA_17
"Moshovos, Andreas",@eecg.toronto.edu,pc,HPCA_17
"Mudge, Trevor",@eecs.umich.edu,pc,HPCA_17
"Mutlu, Onur",@inf.ethz.ch,pc,HPCA_17
"Muzahid, Abdullah",@cs.utsa.edu,pc,HPCA_17
"Nagarajan, Vijay",@ed.ac.uk,pc,HPCA_17
"Onder, Soner",@mtu.edu,pc,HPCA_17
"Patt, Yale",,pc,HPCA_17
"Pericas, Miquel",@chalmers.se,pc,HPCA_17
"Ramirez, Alex",@nvidia.com,pc,HPCA_17
"Sankaralingam, Karthikeyan",@cs.wisc.edu,pc,HPCA_17
