key,linked,unreleased,expired,badge,evaluated,location
HotOS_17_015,True,False,False,False,False,Repository
CCGrid_17_002,False,False,False,False,False,Repository
CCGrid_17_004,True,False,True,False,False,Other
CCGrid_17_010,True,False,False,False,False,Academic
CCGrid_17_021,True,False,True,False,False,Other
CCGrid_17_025,True,False,False,False,False,Repository
CCGrid_17_027,True,False,True,False,False,Academic
CCGrid_17_028,True,False,False,False,False,Repository
CCGrid_17_039,True,False,False,False,False,Other
CCGrid_17_045,True,False,False,False,False,Repository
CCGrid_17_047,True,False,False,False,False,Academic
CCGrid_17_049,False,False,False,False,False,Repository
CCGrid_17_052,True,False,False,False,False,Repository
CCGrid_17_054,False,False,False,False,False,Repository
CCGrid_17_061,False,False,False,False,False,Repository
CCGrid_17_065,False,False,False,False,False,Repository
CCGrid_17_067,True,False,False,False,False,Repository
CCGrid_17_068,True,False,False,False,False,Repository
CCGrid_17_072,True,False,False,False,False,Repository
SIGMOD_17_006,True,False,False,False,False,Repository
SIGMOD_17_010,True,False,False,False,False,Repository
SIGMOD_17_024,True,False,True,False,False,Other
SIGMOD_17_032,True,False,False,False,False,Academic
SIGMOD_17_036,True,False,False,False,False,Repository
SIGMOD_17_037,True,False,False,False,False,Repository
SIGMOD_17_043,True,False,False,False,False,Repository
SIGMOD_17_044,True,False,False,False,False,Repository
SIGMOD_17_048,False,False,False,False,False,Repository
SIGMOD_17_051,False,False,False,False,False,Repository
SIGMOD_17_053,False,False,False,False,False,Repository
SIGMOD_17_054,False,False,False,False,False,Repository
SIGMOD_17_057,True,False,False,False,False,Repository
SIGMOD_17_062,False,False,False,False,False,Repository
SIGMOD_17_072,True,False,False,False,False,Repository
SIGMOD_17_073,True,False,False,False,False,Repository
SIGMOD_17_074,True,False,False,False,False,Repository
SIGMOD_17_075,False,False,False,False,False,Repository
SIGMOD_17_076,True,False,False,False,False,Repository
SIGMOD_17_081,True,False,False,False,False,Repository
PODS_17_009,True,False,False,False,False,Repository
PODS_17_017,True,False,False,False,False,Repository
SYSTOR_17_002,True,False,False,False,False,Repository
SYSTOR_17_004,True,False,False,False,False,Repository
SYSTOR_17_011,True,False,False,False,False,Repository
IPDPS_17_002,True,False,False,False,False,Repository
IPDPS_17_004,True,False,True,False,False,Academic
IPDPS_17_005,True,False,False,False,False,Repository
IPDPS_17_006,True,False,False,False,False,Repository
IPDPS_17_012,True,False,False,False,False,Repository
IPDPS_17_013,True,False,False,False,False,Repository
IPDPS_17_031,True,False,False,False,False,Repository
IPDPS_17_037,True,False,False,False,False,Repository
IPDPS_17_038,True,False,False,False,False,Repository
IPDPS_17_048,True,False,False,False,False,Repository
IPDPS_17_055,True,False,False,False,False,Repository
IPDPS_17_061,True,False,False,False,False,Repository
IPDPS_17_064,True,False,False,False,False,Repository
IPDPS_17_066,True,False,False,False,False,Repository
IPDPS_17_078,True,False,False,False,False,Repository
IPDPS_17_086,True,False,False,False,False,Academic
IPDPS_17_087,True,False,False,False,False,Repository
IPDPS_17_089,False,False,False,False,False,Repository
IPDPS_17_104,True,False,True,False,False,Academic
IPDPS_17_108,True,False,False,False,False,Repository
IPDPS_17_111,False,False,False,False,False,Repository
SIGMETRICS_17_011,True,False,False,False,False,Repository
SIGMETRICS_17_013,True,False,False,False,False,Repository
SIGMETRICS_17_015,True,False,False,False,False,Repository
SIGMETRICS_17_023,True,False,False,False,False,Repository
SIGMETRICS_17_027,True,False,False,False,False,Repository
ISC_17_003,True,False,False,False,False,Other
ISC_17_005,True,False,False,False,False,Repository
ISC_17_008,True,False,False,False,False,Repository
ISC_17_010,True,False,False,False,False,Repository
ISC_17_011,True,False,False,False,False,Repository
ISC_17_014,True,False,False,False,False,Repository
ISC_17_021,True,False,False,False,False,Repository
CLOUD_17_011,False,False,False,False,False,Repository
CLOUD_17_013,True,False,False,False,False,Repository
CLOUD_17_015,True,False,False,False,False,Repository
CLOUD_17_025,True,False,False,False,False,Academic
HPDC_17_004,False,False,False,False,False,Repository
HPDC_17_006,True,False,False,False,False,Repository
HPDC_17_007,True,False,False,False,False,Repository
HPDC_17_010,True,False,False,False,False,Repository
HPDC_17_012,True,False,False,False,False,Repository
